Random Values=100Normal Distribution Parameters
s=200,l=50000,u=1000000
	Array	Vector
0 42765

t0	 24925	 1959133
t1	 26741	 2058905
t2	 25275	 2100657
t3	 24996	 1900974
t4	 22831	 1869206
t5	 36307	 1726984
t6	 38261	 1601658
t7	 26950	 1465440
t8	 30442	 1915915
t9	 38610	 2002421
t10	 26741	 1803715
t11	 24577	 1553971
t12	 30511	 1672594
t13	 39309	 2205596
t14	 35189	 2145202
t15	 39169	 2089556
t16	 30092	 2148972
t17	 36935	 2056811
t18	 25275	 2138080
t19	 32536	 4288589
t20	 30581	 1510963
t21	 29673	 1618903
t22	 33792	 1624140
t23	 27160	 1583225
t24	 25693	 1474726
t25	 32396	 1445821
t26	 35329	 1711344
t27	 26671	 1892106
t28	 30092	 2005564
t29	 28416	 1904884
t30	 27718	 1995579
t31	 29534	 1918638
t32	 45592	 1690119
t33	 31210	 1600959
t34	 26531	 1537773
t35	 28276	 1447706
t36	 30930	 1454619
t37	 32257	 1534561
t38	 29743	 1624629
t39	 28696	 1608011
t40	 25135	 1440166
t41	 29673	 1449731
t42	 36656	 1458109
t43	 31349	 1451476
t44	 31070	 1744927
t45	 28347	 1502235
t46	 27788	 1583296
t47	 24018	 1674480
t48	 27509	 1798130
t49	 47547	 1554111
t50	 30861	 1468791
t51	 31768	 1596630
t52	 28695	 1521436
t53	 28766	 1607313
t54	 24087	 1465510
t55	 29603	 1570937
t56	 29045	 1540007
t57	 29324	 1446380
t58	 31698	 1526462
t59	 29254	 1516129
t60	 30092	 1486247
t61	 36236	 1788215
t62	 25972	 1529813
t63	 26042	 1494834
t64	 27928	 1424526
t65	 28416	 1409375
t66	 30581	 1811745
t67	 34980	 2303762
t68	 30232	 1933090
t69	 39588	 1442679
t70	 31070	 1654650
t71	 29115	 1908793
t72	 29883	 2000327
t73	 27927	 1935813
t74	 30650	 2067423
t75	 32815	 1909492
t76	 29464	 1655209
t77	 35398	 1420267
t78	 28905	 1603404
t79	 29883	 1450848
t80	 29324	 1425294
t81	 33932	 1454129
t82	 38471	 1433183
t83	 32746	 1536586
t84	 34700	 1444075
t85	 32326	 1451825
t86	 31000	 1476122
t87	 29743	 1521505
t88	 28068	 1570727
t89	 26322	 1450220
t90	 28835	 1536098
t91	 28556	 1451965
t92	 29115	 1646343
t93	 26811	 1563676
t94	 31139	 1469071
t95	 55297	 1917801
t96	 27090	 1975821
t97	 29464	 2082434
t98	 28905	 2176621
t99	 24577	 1556275
1 72181

t0	 40077	 2350332
t1	 30301	 2642526
t2	 29534	 2489272
t3	 36446	 2444029
t4	 33513	 2551411
t5	 37144	 2672758
t6	 30232	 2772111
t7	 30860	 3290450
t8	 35748	 3267270
t9	 31069	 3308533
t10	 31349	 2511684
t11	 29045	 2365133
t12	 34979	 2947148
t13	 30860	 2512871
t14	 28417	 2480056
t15	 51876	 3203106
t16	 36027	 3253725
t17	 27858	 2538774
t18	 29255	 2399344
t19	 34142	 2536121
t20	 33443	 2980033
t21	 30790	 3396157
t22	 28068	 3307625
t23	 39517	 3337089
t24	 32047	 2941702
t25	 31139	 2677715
t26	 51107	 2435022
t27	 140686	 2469024
t28	 32327	 2967256
t29	 31070	 3427645
t30	 30860	 3371441
t31	 32605	 3241227
t32	 46151	 3002235
t33	 34211	 3420873
t34	 34560	 2825871
t35	 34282	 2565725
t36	 46989	 2413379
t37	 36376	 2496534
t38	 31977	 2470770
t39	 32327	 2429926
t40	 32815	 2474750
t41	 32746	 2460088
t42	 32326	 2583109
t43	 33444	 2498628
t44	 36864	 2441376
t45	 34840	 2515663
t46	 37353	 2538913
t47	 33024	 2938560
t48	 28417	 2412680
t49	 34420	 2529489
t50	 32187	 2473562
t51	 42171	 2621720
t52	 32326	 2557346
t53	 33653	 2451011
t54	 33444	 2567121
t55	 34700	 2572357
t56	 31698	 2674713
t57	 32815	 2467628
t58	 33304	 2551691
t59	 31977	 2464696
t60	 34212	 2602101
t61	 33933	 2596375
t62	 32606	 2496114
t63	 34072	 2547501
t64	 33304	 2541288
t65	 32047	 2419523
t66	 40147	 2507635
t67	 34631	 2451151
t68	 31698	 2418755
t69	 31140	 2519574
t70	 39168	 2516013
t71	 30651	 2402486
t72	 33304	 2596305
t73	 31000	 2578850
t74	 28556	 2379376
t75	 33863	 2477333
t76	 33653	 2640850
t77	 29254	 2409887
t78	 42031	 2577035
t79	 33373	 2722051
t80	 28486	 2480544
t81	 47268	 2585484
t82	 32257	 2576965
t83	 26741	 2490529
t84	 31768	 2543661
t85	 34212	 2597003
t86	 28347	 2487945
t87	 34351	 2646715
t88	 46640	 2719606
t89	 31279	 2484664
t90	 35887	 2551900
t91	 34002	 2597073
t92	 31209	 2500373
t93	 33793	 2564817
t94	 34421	 2540170
t95	 35957	 2450173
t96	 33583	 2522017
t97	 33653	 2490808
t98	 29882	 3179507
t99	 32955	 3326058
2 68544

t0	 48176	 2468047
t1	 30651	 2465883
t2	 27439	 3195146
t3	 34980	 3278860
t4	 31209	 3369206
t5	 33094	 2948684
t6	 31069	 2510358
t7	 28277	 2540450
t8	 33234	 2533328
t9	 32815	 2530606
t10	 31349	 2535283
t11	 34212	 3638570
t12	 31209	 3723331
t13	 30791	 3651416
t14	 32397	 3697078
t15	 31977	 3768015
t16	 31070	 3709925
t17	 32536	 3711461
t18	 31000	 3306718
t19	 31977	 2417637
t20	 33793	 2510288
t21	 33792	 2525718
t22	 29952	 2461903
t23	 34421	 2548269
t24	 33304	 2532002
t25	 29394	 2398018
t26	 33234	 2462112
t27	 33653	 2515664
t28	 26252	 2387755
t29	 35677	 2482500
t30	 36515	 2582132
t31	 31279	 2600216
t32	 27998	 2560627
t33	 39378	 2535702
t34	 28276	 2396762
t35	 35049	 2907421
t36	 32396	 3602054
t37	 30651	 3280326
t38	 28626	 2436629
t39	 34002	 2767851
t40	 28765	 2915799
t41	 37284	 3596259
t42	 27579	 3529093
t43	 32606	 3687722
t44	 30302	 3755867
t45	 58300	 3854242
t46	 30302	 3682346
t47	 23668	 2394947
t48	 34211	 2501561
t49	 33653	 2573125
t50	 27857	 2322124
t51	 31140	 2501909
t52	 33025	 2922152
t53	 26042	 2396132
t54	 32885	 2478031
t55	 34770	 2369322
t56	 36725	 2514337
t57	 33234	 2691539
t58	 30371	 2506797
t59	 31489	 2468187
t60	 33444	 2528302
t61	 35468	 2397111
t62	 34560	 2450941
t63	 33443	 2585274
t64	 31279	 2380842
t65	 31977	 2549945
t66	 34839	 2515524
t67	 29045	 2445635
t68	 32327	 2583668
t69	 33723	 2524391
t70	 27997	 2469653
t71	 41054	 2515873
t72	 33723	 2516572
t73	 27369	 2373232
t74	 37005	 2505959
t75	 33024	 2378189
t76	 67166	 3344700
t77	 29953	 2658165
t78	 31768	 2502608
t79	 34910	 2383705
t80	 39308	 2388244
t81	 32466	 2484315
t82	 28696	 2345095
t83	 33374	 2485293
t84	 32047	 2484664
t85	 31628	 2385380
t86	 31419	 2497859
t87	 31977	 2360176
t88	 56972	 2466999
t89	 36795	 2455480
t90	 37842	 2463928
t91	 37144	 3579293
t92	 31698	 3628306
t93	 26671	 3616995
t94	 43917	 3713766
t95	 29674	 3770738
t96	 35817	 3746092
t97	 28346	 3707552
t98	 31908	 3755447
t99	 33234	 3710972
3 18524

t0	 4399	 683742
t1	 3281	 663145
t2	 2932	 716696
t3	 4049	 629702
t4	 3212	 613294
t5	 3002	 649669
t6	 3910	 641571
t7	 3490	 636613
t8	 3281	 741342
t9	 4189	 643526
t10	 3142	 628864
t11	 3142	 661330
t12	 2933	 618810
t13	 3491	 710273
t14	 4468	 607918
t15	 8937	 670476
t16	 3491	 624884
t17	 4678	 641850
t18	 2863	 632634
t19	 3840	 659026
t20	 2793	 635008
t21	 3002	 639058
t22	 3142	 641780
t23	 3282	 652812
t24	 2933	 743437
t25	 3561	 661539
t26	 3142	 636055
t27	 2932	 665868
t28	 2862	 637870
t29	 3422	 718511
t30	 3212	 641013
t31	 2862	 636544
t32	 2792	 632564
t33	 3421	 640453
t34	 3491	 632285
t35	 2862	 725773
t36	 3351	 639685
t37	 8308	 638638
t38	 3142	 628165
t39	 2863	 663424
t40	 3002	 771156
t41	 4189	 642618
t42	 3631	 624884
t43	 3002	 663145
t44	 3211	 610432
t45	 3281	 662377
t46	 3840	 682066
t47	 3840	 654068
t48	 3701	 639336
t49	 3700	 652951
t50	 3282	 638778
t51	 4190	 696868
t52	 3003	 635147
t53	 2723	 652951
t54	 3002	 632704
t55	 3282	 662726
t56	 3422	 641989
t57	 3281	 769620
t58	 2793	 634659
t59	 3142	 648063
t60	 3072	 637941
t61	 3282	 637452
t62	 2793	 771714
t63	 2583	 481475
t64	 2444	 434417
t65	 1955	 565258
t66	 3770	 578036
t67	 2584	 595071
t68	 4469	 572379
t69	 2863	 682695
t70	 4538	 578454
t71	 2584	 581037
t72	 3700	 584668
t73	 4329	 610292
t74	 3141	 566724
t75	 3561	 670337
t76	 3002	 588159
t77	 3212	 774298
t78	 2654	 461367
t79	 3352	 583900
t80	 3072	 601983
t81	 2863	 680530
t82	 3212	 572240
t83	 3002	 599819
t84	 2792	 560511
t85	 3421	 585296
t86	 2723	 578244
t87	 3212	 679413
t88	 3002	 566724
t89	 3421	 599749
t90	 3002	 578873
t91	 3491	 1037377
t92	 3142	 433718
t93	 3840	 514639
t94	 2932	 505562
t95	 2583	 485804
t96	 3003	 562256
t97	 4817	 584319
t98	 3072	 793637
t99	 3282	 551224
4 87533

t0	 17664	 2986177
t1	 29394	 3131541
t2	 28975	 3615459
t3	 33234	 3669709
t4	 36027	 3589975
t5	 28067	 3591791
t6	 32326	 4065864
t7	 38540	 7844003
t8	 76941	 3896552
t9	 33304	 4124513
t10	 108290	 4179880
t11	 34351	 3358315
t12	 43497	 2983454
t13	 34910	 2913635
t14	 31070	 2679530
t15	 35887	 3559953
t16	 33164	 2758635
t17	 33095	 2942750
t18	 28835	 4416079
t19	 27370	 3668522
t20	 31907	 3814026
t21	 47408	 3815143
t22	 30232	 3320542
t23	 23529	 2861549
t24	 29953	 3075197
t25	 29674	 2747394
t26	 29813	 3140478
t27	 29813	 2649229
t28	 113247	 2612713
t29	 36026	 2855684
t30	 34072	 2752212
t31	 26881	 3366274
t32	 30301	 3342326
t33	 43846	 3908212
t34	 32466	 3097259
t35	 30302	 3498162
t36	 31978	 3225937
t37	 27997	 3204921
t38	 30790	 3675644
t39	 26810	 4228893
t40	 48035	 4354079
t41	 29464	 4563817
t42	 31907	 3254912
t43	 33303	 3590394
t44	 30721	 2993019
t45	 26182	 2759054
t46	 42240	 2847445
t47	 40355	 3466185
t48	 31489	 3656374
t49	 32466	 3343094
t50	 40286	 2957830
t51	 28137	 2801435
t52	 29254	 3416474
t53	 37982	 3244509
t54	 33443	 3331504
t55	 29114	 3699662
t56	 30302	 3798805
t57	 28835	 3053622
t58	 40007	 2954060
t59	 29114	 2685115
t60	 34770	 2774415
t61	 29464	 3142573
t62	 27439	 2940725
t63	 34840	 3941865
t64	 39797	 4106779
t65	 30651	 3487900
t66	 25065	 4116763
t67	 39937	 3756006
t68	 44265	 4269179
t69	 30441	 4132472
t70	 53901	 3265803
t71	 23878	 3683185
t72	 24856	 2624303
t73	 34003	 3235362
t74	 30790	 3818774
t75	 27578	 2806741
t76	 33792	 3468349
t77	 28765	 3637103
t78	 34561	 3672013
t79	 23948	 2717303
