Random Values=100Normal Distribution Parameters
s=200,l=50000,u=1000000
	Array	Vector
0 46410

t0	 25415	 1680840
t1	 28276	 1885412
t2	 27649	 1588887
t3	 30232	 1708628
t4	 147878	 1501193
t5	 149484	 1606063
t6	 29185	 2106530
t7	 119811	 1970941
t8	 24647	 2060030
t9	 27579	 2008853
t10	 24856	 1904333
t11	 22342	 1635178
t12	 34142	 1752265
t13	 24367	 1784732
t14	 24577	 1552371
t15	 31349	 1472847
t16	 29045	 2079301
t17	 25694	 1764484
t18	 22063	 1684052
t19	 24018	 1524723
t20	 32606	 2574671
t21	 31210	 2229344
t22	 36864	 2336097
t23	 38750	 2339588
t24	 25554	 1495329
t25	 28835	 1524094
t26	 29464	 1758061
t27	 28138	 1513412
t28	 30651	 1668412
t29	 24925	 1713236
t30	 28138	 1635875
t31	 26880	 1512784
t32	 29813	 1516834
t33	 28556	 1569687
t34	 30931	 1520324
t35	 30860	 1638110
t36	 28766	 1490023
t37	 29115	 1643696
t38	 28417	 1668481
t39	 25066	 1627916
t40	 24088	 1717565
t41	 25624	 1604876
t42	 31698	 1572969
t43	 31908	 1462514
t44	 28067	 1647047
t45	 30441	 1471241
t46	 30511	 1496795
t47	 33723	 1609135
t48	 32257	 1476478
t49	 37004	 1550557
t50	 27788	 1469984
t51	 29394	 1772723
t52	 26322	 1602502
t53	 30023	 1542527
t54	 27718	 1560470
t55	 28486	 1462374
t56	 30232	 1605365
t57	 28557	 1873682
t58	 30372	 1740117
t59	 33584	 1573597
t60	 32955	 1558655
t61	 27858	 1604388
t62	 28975	 1481853
t63	 30302	 1565847
t64	 29185	 1505034
t65	 30441	 1664153
t66	 26741	 1855529
t67	 34840	 2857720
t68	 36795	 2304888
t69	 32885	 2344825
t70	 28277	 2403613
t71	 38750	 2370588
t72	 31279	 2401588
t73	 31559	 2183472
t74	 27230	 1566196
t75	 29324	 1512155
t76	 30232	 1643207
t77	 30581	 1507478
t78	 29674	 1610392
t79	 33793	 1596707
t80	 26112	 1496865
t81	 31140	 1562216
t82	 29394	 1505942
t83	 30931	 1628614
t84	 24576	 1493094
t85	 32257	 1613114
t86	 26043	 1570943
t87	 29184	 1511876
t88	 30441	 1588818
t89	 27579	 1551813
t90	 31768	 1513203
t91	 31210	 1640415
t92	 44336	 1526049
t93	 31070	 1564032
t94	 29045	 1497354
t95	 30302	 1580997
t96	 26392	 1502171
t97	 32327	 1512504
t98	 32187	 1647466
t99	 28975	 1477036
1 88006

t0	 35050	 2625222
t1	 30721	 2699649
t2	 29115	 2661946
t3	 29953	 2715218
t4	 34979	 2680309
t5	 31279	 2737631
t6	 34630	 2915531
t7	 30092	 2752712
t8	 32048	 2739586
t9	 27858	 2741821
t10	 30023	 2764372
t11	 34910	 2840057
t12	 31000	 2670744
t13	 34840	 2817854
t14	 33095	 2729532
t15	 36795	 2820298
t16	 27160	 2771494
t17	 28277	 2747057
t18	 33793	 2793068
t19	 33095	 2759904
t20	 32745	 2696927
t21	 33094	 2773937
t22	 33583	 2737003
t23	 29883	 2698532
t24	 32536	 2701535
t25	 33723	 2674025
t26	 31210	 2597154
t27	 34700	 2730859
t28	 29673	 2722550
t29	 32885	 2721154
t30	 30721	 2611956
t31	 34700	 2716895
t32	 32955	 2767025
t33	 29673	 2585215
t34	 36027	 2801656
t35	 26601	 2723249
t36	 40705	 2851507
t37	 32326	 2662366
t38	 34351	 2820297
t39	 32326	 2918883
t40	 28766	 2707608
t41	 34422	 2891933
t42	 36306	 2742029
t43	 32815	 2768840
t44	 28486	 2650636
t45	 34282	 2863027
t46	 33025	 2741052
t47	 31349	 2667043
t48	 42521	 2814712
t49	 52365	 2798165
t50	 31558	 2771913
t51	 30302	 2700766
t52	 37214	 2824766
t53	 33094	 2834332
t54	 39378	 2712007
t55	 32327	 2582422
t56	 34770	 2803262
t57	 29604	 2757948
t58	 27719	 2613771
t59	 33863	 2802563
t60	 33025	 2745032
t61	 33514	 2651753
t62	 36306	 2634227
t63	 35329	 2772052
t64	 33164	 2791602
t65	 29045	 2662226
t66	 42869	 2884461
t67	 26043	 2689176
t68	 32467	 2650007
t69	 35329	 2682055
t70	 34421	 2856394
t71	 32816	 2810033
t72	 38052	 2671162
t73	 36097	 2771632
t74	 45592	 2774426
t75	 32327	 2818482
t76	 29813	 2644003
t77	 35399	 2793835
t78	 35329	 2764232
t79	 29324	 2620124
t80	 35328	 2677586
t81	 33723	 2770656
t82	 32466	 2625640
t83	 34700	 2629619
t84	 41613	 2758646
t85	 27719	 2685545
t86	 28137	 2619985
t87	 34281	 2765419
t88	 34351	 2767443
t89	 32117	 2707538
t90	 41892	 2735816
t91	 35747	 2835309
t92	 33304	 2739445
t93	 29324	 2673606
t94	 33024	 2738818
t95	 35538	 2846270
t96	 37004	 2666345
t97	 33514	 2734000
t98	 40984	 2739725
t99	 33514	 2890465
2 32765

t0	 4678	 938726
t1	 4189	 716630
t2	 3910	 738762
t3	 3700	 791336
t4	 4469	 748328
t5	 3909	 720400
t6	 3980	 750004
t7	 4050	 724240
t8	 4259	 815354
t9	 5865	 747978
t10	 3910	 740368
t11	 3351	 721098
t12	 3770	 787496
t13	 3910	 829877
t14	 4049	 734783
t15	 2863	 720819
t16	 3282	 741834
t17	 3072	 719702
t18	 3561	 801879
t19	 3701	 717049
t20	 4259	 744558
t21	 4608	 826456
t22	 4539	 727871
t23	 3352	 784145
t24	 4329	 766131
t25	 3631	 714953
t26	 3770	 728988
t27	 3002	 719701
t28	 3072	 847052
t29	 3561	 707693
t30	 3840	 735480
t31	 4189	 713278
t32	 3561	 734084
t33	 2862	 797970
t34	 3701	 782190
t35	 3840	 717467
t36	 3700	 749584
t37	 4469	 736738
t38	 4050	 827084
t39	 3491	 826735
t40	 5166	 968818
t41	 5236	 718444
t42	 3142	 828411
t43	 3072	 706995
t44	 2723	 728568
t45	 4119	 729685
t46	 4049	 772834
t47	 3211	 778071
t48	 3910	 949478
t49	 25624	 916523
t50	 4469	 1009244
t51	 4119	 1195034
t52	 4958	 1022300
t53	 4050	 1173320
t54	 4678	 1121793
t55	 3910	 1039546
t56	 5167	 919665
t57	 4329	 981804
t58	 3840	 1097427
t59	 5306	 986971
t60	 4608	 1111460
t61	 3631	 1048831
t62	 4957	 1357225
t63	 23110	 1012037
t64	 4259	 1101964
t65	 3980	 959183
t66	 5516	 1010082
t67	 3910	 1245654
t68	 2932	 1076900
t69	 4538	 1213815
t70	 3561	 1007010
t71	 4049	 1096797
t72	 6703	 994722
t73	 4608	 963232
t74	 5236	 935724
t75	 5795	 1107410
t76	 3072	 1289640
t77	 4049	 986832
t78	 3910	 1234343
t79	 3700	 988019
t80	 4259	 1019438
t81	 25414	 944312
t82	 5446	 1011897
t83	 3281	 1084370
t84	 4050	 1009523
t85	 4049	 1330414
t86	 3212	 1008267
t87	 4259	 1059514
t88	 4049	 1006800
t89	 4538	 716210
t90	 3631	 727800
t91	 6493	 768087
t92	 4748	 738134
t93	 4259	 796433
t94	 3980	 719213
t95	 3351	 706017
t96	 3491	 720749
t97	 3631	 714674
t98	 4120	 874422
t99	 4050	 710835
3 26254

t0	 3910	 408864
t1	 2025	 530699
t2	 2793	 552553
t3	 2514	 556254
t4	 3211	 668523
t5	 4748	 544244
t6	 3281	 546060
t7	 3351	 547806
t8	 3422	 542080
t9	 3630	 560512
t10	 3142	 555206
t11	 3491	 635988
t12	 2932	 549341
t13	 3281	 550808
t14	 3352	 539776
t15	 3491	 560373
t16	 3491	 559326
t17	 3700	 655956
t18	 3770	 555556
t19	 2443	 553950
t20	 2374	 538590
t21	 2932	 625864
t22	 2514	 558488
t23	 2723	 533772
t24	 2583	 618184
t25	 2514	 555415
t26	 3351	 540125
t27	 3840	 558767
t28	 3282	 562468
t29	 2653	 575943
t30	 4050	 622862
t31	 2654	 553530
t32	 2373	 541452
t33	 2444	 562118
t34	 2165	 570636
t35	 3212	 572801
t36	 3561	 558488
t37	 2862	 714256
t38	 3561	 531608
t39	 2514	 553042
t40	 2373	 562048
t41	 2653	 557999
t42	 3910	 557999
t43	 2932	 622722
t44	 3003	 541801
t45	 3631	 563166
t46	 2723	 550878
t47	 2862	 548294
t48	 2653	 652605
t49	 2443	 636197
t50	 4189	 538170
t51	 2513	 549691
t52	 2723	 542639
t53	 3351	 543756
t54	 3072	 625235
t55	 3212	 561840
t56	 3212	 662869
t57	 2793	 551645
t58	 3281	 551017
t59	 3002	 543756
t60	 2933	 553461
t61	 2514	 566099
t62	 3212	 634103
t63	 3351	 555416
t64	 2863	 549900
t65	 3281	 544454
t66	 2513	 562468
t67	 3421	 567006
t68	 4119	 546409
t69	 3422	 646251
t70	 2723	 618882
t71	 2862	 535447
t72	 2444	 555555
t73	 2374	 558418
t74	 2654	 535867
t75	 2584	 687095
t76	 2444	 555625
t77	 3211	 537192
t78	 3910	 560512
t79	 3560	 557441
t80	 3212	 539707
t81	 3421	 561560
t82	 66399	 564073
t83	 3142	 545431
t84	 2235	 557720
t85	 3421	 553879
t86	 3770	 555485
t87	 5795	 587114
t88	 2933	 607641
t89	 2584	 540544
t90	 2304	 556603
t91	 3212	 551157
t92	 3351	 548504
t93	 3212	 552274
t94	 2933	 676902
t95	 4469	 549411
t96	 2513	 557161
t97	 3421	 555206
t98	 3840	 539706
t99	 4189	 568472
4 35131

t0	 2513	 1075014
t1	 4748	 769622
t2	 4398	 812422
t3	 4189	 757265
t4	 4120	 765015
t5	 4119	 840071
t6	 2933	 767598
t7	 3491	 762641
t8	 3491	 764526
t9	 3421	 774649
t10	 4608	 893692
t11	 3771	 762850
t12	 3701	 771996
t13	 3840	 767807
t14	 3909	 869045
t15	 3840	 789591
t16	 3910	 770391
t17	 3561	 771717
t18	 3491	 769692
t19	 3561	 865066
t20	 4329	 760337
t21	 3910	 766481
t22	 3910	 774580
t23	 4399	 767109
t24	 4399	 893064
t25	 3351	 784913
t26	 7052	 791127
t27	 4678	 756637
t28	 3630	 852080
t29	 4399	 771507
t30	 3979	 768924
t31	 3490	 766900
t32	 3770	 774231
t33	 4678	 828550
t34	 3980	 760128
t35	 3770	 763898
t36	 2793	 761174
t37	 3351	 771438
t38	 5027	 768924
t39	 3561	 762780
t40	 3840	 751679
t41	 3421	 770949
t42	 3910	 836231
t43	 4050	 766132
t44	 3771	 763898
t45	 4189	 766341
t46	 3840	 759289
t47	 4190	 822127
t48	 3630	 750143
t49	 4259	 748048
t50	 5376	 786938
t51	 4469	 751539
t52	 3980	 861715
t53	 3352	 745395
t54	 3700	 757055
t55	 3979	 747769
t56	 3980	 818986
t57	 4888	 754820
t58	 4050	 744139
t59	 3910	 760825
t60	 3630	 755519
t61	 4119	 836789
t62	 4608	 784564
t63	 3491	 743301
t64	 3561	 745744
t65	 3979	 777862
t66	 3561	 848100
t67	 3840	 769902
t68	 3142	 747280
t69	 2723	 751819
t70	 3980	 759289
t71	 4748	 830715
t72	 4259	 755240
t73	 4539	 753843
t74	 4538	 802927
t75	 3421	 854872
t76	 5656	 743301
t77	 3421	 749724
t78	 3282	 761873
t79	 3770	 758103
t80	 3561	 871978
t81	 3701	 755310
t82	 3421	 745256
t83	 4399	 755938
t84	 4329	 756357
t85	 4328	 817658
t86	 3840	 803694
t87	 3910	 739111
t88	 3561	 752796
t89	 3770	 751470
t90	 4329	 828481
t91	 3211	 749375
t92	 4469	 751540
t93	 4538	 776186
t94	 4468	 867371
t95	 4747	 752936
t96	 3979	 753285
t97	 3631	 755100
t98	 4049	 820801
t99	 4190	 825478
5 47628

t0	 4259	 1296552
t1	 4747	 1086045
t2	 4678	 1154538
t3	 5027	 1077737
t4	 4538	 1073478
t5	 4748	 1079762
t6	 5237	 1197688
t7	 4259	 1130101
t8	 4538	 1076690
t9	 4958	 1160892
t10	 4468	 1075992
t11	 5027	 1110692
t12	 4468	 1094005
t13	 6842	 1103082
t14	 4050	 1098962
t15	 5027	 1196082
t16	 4748	 1178278
t17	 4818	 1094005
t18	 5446	 1092050
t19	 4748	 1164174
t20	 4678	 1090444
t21	 5097	 1101476
t22	 4888	 1173181
t23	 4958	 1098892
t24	 5446	 1158169
t25	 3910	 1096240
t26	 4608	 1219052
t27	 4957	 1096309
t28	 5027	 1096169
t29	 5237	 1159985
t30	 4259	 1091911
t31	 4818	 1098473
t32	 5027	 1225475
t33	 4957	 1092399
t34	 4190	 1103012
t35	 4678	 1104408
t36	 4539	 1208369
t37	 4887	 1093447
t38	 4678	 1095261
t39	 5097	 1164593
t40	 4120	 1097985
t41	 4259	 1134081
t42	 4329	 1163336
t43	 4817	 1096589
t44	 4678	 1103361
t45	 5516	 1103919
t46	 4259	 1203413
t47	 4468	 1101197
t48	 4887	 1095541
t49	 4887	 1226803
t50	 4329	 1081158
t51	 5376	 1093098
t52	 4748	 1157262
t53	 4678	 1087512
t54	 4747	 1092819
t55	 4957	 1108667
t56	 7052	 1100079
t57	 4189	 1101964
t58	 4049	 1135757
t59	 4468	 1155376
t60	 4399	 1086465
t61	 4049	 1159845
t62	 4678	 1162080
t63	 5446	 1107341
t64	 4747	 1102872
t65	 4817	 1242232
t66	 4538	 1154259
t67	 4259	 1105595
t68	 4817	 1096658
t69	 4818	 1336838
t70	 4608	 1080181
t71	 4888	 1112717
t72	 5236	 1174368
t73	 4957	 1098473
t74	 4888	 1179884
t75	 4538	 1203483
t76	 4329	 1083950
t77	 5306	 1117883
t78	 4747	 1197897
t79	 4259	 1100917
t80	 5027	 1096658
t81	 4608	 1109296
t82	 4888	 1157541
t83	 4818	 1136176
t84	 4818	 1092818
t85	 4539	 1216469
t86	 3841	 1081717
t87	 4608	 1087791
t88	 4818	 1162149
t89	 4817	 1087233
t90	 5306	 1085138
t91	 5167	 1144555
t92	 4888	 1137712
t93	 4818	 1074176
t94	 5516	 1091072
t95	 4818	 1203133
t96	 4399	 1080111
t97	 5376	 1078016
t98	 5446	 1302626
t99	 4817	 1074107
6 78713

t0	 3910	 2306424
t1	 33095	 2529917
t2	 36027	 2578302
t3	 30511	 2437127
t4	 55856	 2678214
t5	 33863	 2569993
t6	 31629	 2461285
t7	 183277	 3391981
t8	 29394	 2548908
t9	 35050	 2635554
t10	 30372	 2508762
t11	 33444	 2702791
t12	 38401	 2618029
t13	 33024	 2529359
t14	 34840	 2617401
t15	 42310	 2713822
t16	 33932	 2618100
t17	 33304	 2524610
t18	 33793	 2698601
t19	 29255	 2704955
t20	 26113	 2851297
t21	 36376	 3957939
t22	 50200	 3832334
t23	 37423	 3969110
t24	 34840	 3866685
t25	 40845	 3814879
t26	 46500	 3990057
t27	 39867	 3680267
t28	 29115	 3345760
t29	 44196	 3658413
t30	 34840	 3652478
t31	 35608	 3599416
t32	 34351	 3749248
t33	 33514	 2985909
t34	 34421	 2616634
t35	 82108	 3091826
t36	 40006	 3818649
t37	 24577	 2623266
t38	 32466	 2654964
t39	 29882	 2572716
t40	 33863	 2688268
t41	 34212	 2706700
t42	 33583	 2647145
t43	 28208	 2614608
t44	 32746	 2663133
t45	 33235	 2633460
t46	 33095	 2556937
t47	 32885	 2635135
t48	 31978	 2787691
t49	 24716	 2551073
t50	 34212	 2600295
t51	 33723	 2602599
t52	 29464	 2549467
t53	 37493	 2726668
t54	 38192	 2557217
t55	 33164	 2453883
t56	 34631	 2536969
t57	 34351	 2585634
t58	 28905	 2453813
t59	 33513	 2541856
t60	 34282	 2534385
t61	 29044	 2485791
t62	 36167	 2626059
t63	 33165	 2560498
t64	 29883	 2501221
t65	 33235	 2553167
t66	 32466	 2653009
t67	 28556	 2547372
t68	 34072	 2628433
t69	 33653	 2602530
t70	 30860	 2530057
t71	 35259	 2672140
t72	 33933	 2667671
t73	 35189	 2568946
t74	 33863	 2650915
t75	 41752	 2693574
t76	 31838	 2553516
t77	 93767	 2534944
t78	 33513	 2610698
t79	 32327	 2675142
t80	 32955	 2495636
t81	 34910	 2537248
t82	 36586	 2441944
t83	 36306	 2425048
t84	 34700	 2542973
t85	 31000	 2436918
t86	 34142	 2508203
t87	 33025	 2533617
t88	 33025	 2480903
t89	 36656	 2650566
t90	 27649	 2619705
t91	 32117	 2552678
t92	 34212	 2928937
t93	 37004	 2880551
t94	 33723	 2689245
t95	 36376	 2546394
t96	 35608	 2637579
t97	 34491	 2663343
t98	 29743	 2548489
t99	 31908	 2638556
7 96907

t0	 41612	 3128551
t1	 34700	 3189015
t2	 40565	 3096783
t3	 35189	 3038623
t4	 34631	 3090429
t5	 35818	 3136859
t6	 35258	 3084914
t7	 32606	 3078909
t8	 37005	 3050213
t9	 34002	 3088894
t10	 35119	 3047211
t11	 34980	 3034993
t12	 33514	 2964685
t13	 39518	 3127155
t14	 35539	 3032340
t15	 35469	 3044209
t16	 33304	 3093432
t17	 33653	 2980254
t18	 35399	 3037646
t19	 38540	 3043441
t20	 35329	 3121221
t21	 32746	 3115914
t22	 31140	 3003574
t23	 34980	 3169047
t24	 38750	 3212334
t25	 34701	 3142026
t26	 33862	 3103067
t27	 31628	 3017817
t28	 34561	 3141956
t29	 45732	 3068436
t30	 36027	 3135324
t31	 33723	 3193693
t32	 32815	 3058452
t33	 35328	 3036040
t34	 34700	 3113121
t35	 41752	 3132112
t36	 35189	 3131064
t37	 33793	 3091826
t38	 34421	 3053565
t39	 37772	 3110468
t40	 38401	 3111167
t41	 35818	 3074790
t42	 33304	 3094270
t43	 34770	 2977671
t44	 34560	 3054961
t45	 38540	 3072904
t46	 36236	 3108373
t47	 32396	 2993171
t48	 36376	 2979416
t49	 33513	 3035482
t50	 35887	 3105860
t51	 35817	 3105720
t52	 33514	 3032549
t53	 35817	 3092873
t54	 35189	 3294443
t55	 32117	 3171421
t56	 41403	 3266096
t57	 33165	 3197044
t58	 31070	 3024311
t59	 35120	 3080794
t60	 35538	 3096644
t61	 36097	 3156269
t62	 40566	 3084355
t63	 32467	 3039042
t64	 34980	 3093572
t65	 34980	 3125968
t66	 34910	 3099995
t67	 40984	 3073603
t68	 31488	 3017119
t69	 35049	 3221760
t70	 38680	 3131344
t71	 34980	 3115914
t72	 36725	 3137906
t73	 31489	 2965243
t74	 33235	 3061384
t75	 35608	 3057894
t76	 34491	 3138046
t77	 33234	 3075837
t78	 33374	 2984652
t79	 33793	 3047071
t80	 35049	 3091128
t81	 34631	 3054193
t82	 33304	 3115145
t83	 35678	 3037575
t84	 33653	 3150962
t85	 34980	 3102089
t86	 33933	 3179869
t87	 33653	 3208075
t88	 30022	 3063618
t89	 40775	 3113470
t90	 33653	 3115704
t91	 35958	 3160668
t92	 32606	 3116472
t93	 34421	 3102717
t94	 42381	 3048677
t95	 34281	 3160458
t96	 36795	 3098458
t97	 34490	 3101530
t98	 32186	 3109351
t99	 40705	 3006017
8 88843

t0	 30999	 2717732
t1	 33165	 2701045
t2	 30791	 2588147
t3	 34700	 2742308
t4	 34282	 2684148
t5	 33653	 2650844
t6	 35399	 2619286
t7	 35049	 2691339
t8	 33165	 2682053
t9	 27439	 2557356
t10	 33514	 2634716
t11	 33584	 2726948
t12	 28277	 2686523
t13	 40984	 2756831
t14	 33514	 2721083
t15	 34072	 2684009
t16	 34630	 2658315
t17	 34979	 2776939
t18	 33583	 2771144
