Experimento 2
n-random	VectorInsertion[ns]	ArrayInsertion[ns]
51101	642503	190101
58496	725304	186201
58882	739704	163201
63793	768404	176401
64628	773404	202701
65080	803004	215301
66250	972605	182801
69049	996606	190500
73300	1156505	273602
76430	1079706	251601
77830	1071905	255001
79819	1276407	221401
85982	1150706	291501
95584	1226807	311201
95941	1279606	309002
98297	1298307	272801
99414	1370507	290702
104407	1372207	287802
106595	1294207	354001
108052	1331307	338902
109931	1350006	340302
113523	1390707	334502
116909	1488208	476402
116978	1419107	498103
118185	1423807	357402
119886	1461107	346602
125621	1494308	392002
131697	3608418	362902
134240	2300012	575003
134412	1986010	555403
135484	2047710	664604
138224	1989310	594503
139498	2687014	461803
139639	2165111	460302
143507	2036210	395302
147352	2094910	464703
147512	2160811	641403
147806	2146911	659004
148386	2591013	652503
152036	2907315	504602
152949	2494812	639604
153359	2304412	696204
156193	2147311	653104
156236	2374612	459802
157697	2338612	703703
166956	2591113	738804
175216	2421012	576503
176421	2358212	663104
178647	2352012	550303
179392	2363812	757004
181010	2362012	876605
181702	2374812	797604
183822	2733514	864805
184256	2416512	507103
185847	2771315	578803
186375	2647713	820904
187847	2967115	785704
192648	2835215	885304
194433	2522213	600703
194586	2589913	852704
194702	2560414	924504
195391	2453613	602803
195664	2515413	831704
195932	2541313	863304
197693	2463512	636403
197758	2941315	868004
202251	4226522	923905
202879	2959215	910305
202892	2554213	595703
202983	2577513	589203
203908	3509218	950105
207484	2851515	891604
208437	2611213	645803
212247	2622913	920005
212764	2923815	585903
213217	3350618	661203
214996	2968015	938505
216186	2681513	1014305
228694	3177716	1048505
229285	3377917	979205
230668	2845514	655504
240435	2897115	1035605
241020	2967715	1051805
244865	2892215	1055805
248990	3039715	766804
250728	3009816	1369207
261809	3444918	1150806
265436	5897830	1200006
265733	4135221	1189306
266328	3971920	1135306
266332	4725524	1136806
267253	4143221	1161806
268685	4625623	794004
268740	3934920	1155405
269071	4167422	1169206
271618	5159926	826104
271693	4263521	1695009
272573	3943220	1176206
274908	4267122	1198106
275613	4329822	835704
278258	4196621	1216606
278535	5049725	839105
280484	4489323	1187006
281941	4407323	1223806
283091	4434322	843505
283956	8824345	884105
286176	4106121	818204
297869	4165921	871105
299762	4552823	901205
300731	4596923	1341507
302204	4643723	1299607
302215	4668224	1281406
303867	4874825	1310607
304911	5240827	875704
309152	4807824	1310707
310740	4814525	1357007
311538	5165626	1344207
313060	4529623	1360507
313179	4836424	1407007
313826	5087026	939105
320764	4896625	1351307
321480	5293427	950104
321574	5186426	1386307
325541	4556823	961505
328321	5322827	1416107
329207	4969826	1404207
330182	5193027	1428107
340531	5264127	1438407
341518	4490723	1502008
343878	5139526	1513608
346595	5382227	1521208
347900	5161527	1497407
350337	5111726	1544708
354217	5613329	1136106
357890	5644128	1534808
358749	5416228	1579808
359088	4876825	1568908
361342	5678628	1059706
361778	5751229	1061806
362053	5185727	1558008
372740	6220132	1635908
372860	6259832	1778709
375023	5248927	1620408
375802	5982131	1605208
376173	5649829	1985410
377948	5730830	1608808
380080	5294027	1669808
380970	5772630	1114205
381158	4986225	1715909
381522	5507228	1794709
382138	6926235	1140006
388726	6296932	1174706
392451	5574228	1710209
400316	5149826	1791609
404239	5679829	1811710
407609	5966331	1781009
413226	6250932	1787909
417814	5704829	1946110
419280	5793929	1944110
422220	6231832	1826009
431704	5926530	1865910
433021	7668839	2028811
438532	5814329	1955610
441474	6038631	1929410
454710	5935030	1998810
456806	6744935	2065510
460131	6242032	2738614
460404	6453633	1980010
462968	6338332	1989910
464524	6639734	2011610
465462	6459633	2018611
467109	6798135	2015910
467953	7099537	2008110
468193	6797934	2020111
468404	6803935	1404807
470900	6604234	2015110
474313	6618434	2090711
475214	6863335	2103511
476031	5723530	2040010
476864	7248037	2277912
478756	6327332	2050911
481657	6826535	2095411
482604	6553533	2102611
483026	6321332	2072711
488482	11082456	2241912
493247	6330833	2224711
495676	6764034	2229412
495681	6666834	2133611
496502	6519133	2138611
498336	6614634	2163311
498874	6530233	2403413
500071	6982135	2213012
502651	6619634	2178511
502656	6594534	2262012
505156	6430933	2322812
505478	6991436	2218911
508239	7068636	2223211
508294	7219637	2169511
508570	6097431	2220312
510896	6002030	2241012
511080	6691035	2219611
512181	9124747	2612113
516809	7879741	2222611
527403	9001046	1522308
527980	9419148	1764209
529433	9879851	1592308
537460	9669249	1581608
540392	8433143	1623308
541719	9963650	1656809
546096	12584164	1745309
548024	10339352	1659409
550286	9116246	1655309
551425	8768545	1732809
552428	8563743	1694509
554544	8731145	1694508
555560	8929446	1714408
556856	8761745	1690209
559745	9033347	2477412
560947	9789850	1618609
570502	9585048	1661308
570507	9959751	2134711
