Experimento 1
n-random	VectorInsertion[ns]	ArrayInsertion[ns]
53658	748004	205901
55959	659304	218001
57807	670903	228801
57871	732003	184901
58094	671703	234601
58893	807404	195101
60407	740504	250501
60660	823805	197301
62240	750204	210101
63013	712204	214601
67739	989805	186701
74693	1101406	265101
75195	1042005	208801
79745	1089605	256402
82235	1100206	226701
85746	1605308	254902
88424	1173106	264002
96900	1224106	332202
97679	1224206	333102
98790	1307607	457102
102670	1267507	327201
102680	1291307	318002
103559	1269307	285301
105129	1411908	325801
108495	1309306	505003
109909	1376607	302902
112579	1340207	335501
115254	1515707	367502
117332	1601809	482602
121788	2021810	371502
123640	1460208	360202
125898	1448907	401602
127615	1529008	351502
131727	1947910	392802
135856	1976010	435802
139384	2050010	410602
141819	2014710	442002
144346	3375817	3485418
144455	2240911	629203
145810	2265111	408002
153073	2171912	421502
156593	2134111	483902
160912	2424113	729203
161637	2229411	697504
163709	2435013	499702
168724	2227912	529502
169427	2539613	507602
179923	2349612	522102
180949	2584613	563903
182992	2472813	771204
184978	2420712	595203
185143	3144916	510203
188574	2619914	566003
188878	2447813	588403
192265	2459413	842204
198491	2499713	861804
198877	2510213	876604
200680	2755414	910605
205407	2908115	939605
205773	3109916	1012105
206643	2572414	905804
209337	2695014	894304
209759	2564213	903905
210048	2616214	848704
212342	2743414	662503
215305	2745914	950405
217658	2710414	962605
219657	2686113	957705
219701	3285617	957605
220124	2691513	945905
221412	3471418	1025105
221443	2738614	656404
223508	3228417	957604
224245	2759614	1733309
224969	2696814	683203
225706	3234916	973705
229126	2845214	717704
233308	3279917	1006105
234070	3185817	1023805
237313	2987115	1042905
241613	3338017	1079206
242878	3314316	702204
246563	4335622	1114506
248446	2923915	1107205
249796	2953915	1100705
249936	2994716	1065205
250361	3521118	1077905
251296	4725524	838904
252876	3668018	1133406
255384	3046016	781804
258850	3365317	1137606
258866	3068715	753904
264474	3998521	1211606
267262	4295322	1223206
271007	4582823	780904
271600	4668624	1171906
274590	4207621	894305
276760	4988826	832504
279069	4104821	1255606
281115	4447523	1231506
282067	5064026	863504
283995	4999126	824304
284317	4598924	1271006
285227	8021941	1208206
285319	4085021	1249206
287821	5390428	1250706
289681	4810724	1294607
289975	4794524	1320307
291677	4921925	1284507
293505	5110026	861604
294129	5378228	1367107
297100	6215032	1369607
297124	4135421	1257007
297300	4920925	1283307
299925	4464923	927105
301783	6217232	927704
303955	4648924	1333806
305303	5064126	1355707
305705	5523028	2013410
306223	4331822	1308707
312534	4351822	956805
314052	4914925	1398307
314893	4282122	1420407
319445	5113826	935305
319892	4343422	1429407
322758	5657529	1441207
329435	5348927	2346212
329658	4707924	1508407
331297	4783925	986605
348329	5305127	1584508
351385	4687324	1536308
357239	5210527	1553508
358441	5277927	1524408
363375	5743129	1073906
364885	5985630	1100706
365761	5768330	1574508
368322	4899725	1088506
370731	4790524	1112406
372815	5723829	1638008
373972	5902030	1709808
376429	5001126	1648708
377564	5768830	1586608
377669	7066636	1219706
378620	5632829	1122606
379048	5727429	1667008
381107	4929125	1639809
382205	5793830	1687909
382410	6153232	1157206
384046	5912031	2578413
384695	4974025	1731909
387573	4973826	1758609
388048	5133127	1765309
391408	7037036	1142206
396396	5554329	1740309
399593	5858630	1718709
402260	5046326	1709909
404206	5877230	1764109
410934	5450428	1757909
411355	5798230	1803709
419225	6157531	1240507
421818	5568629	1817109
423942	6142232	1820509
425261	5660729	1844109
426970	6832235	1853009
435793	5372127	1860309
436727	5640629	1888609
439143	6110731	1894910
440465	6304132	1953910
440786	5673429	1940110
444012	5456928	1910510
444480	5585528	1289407
447051	6252732	1943910
447226	6795335	1950510
447809	6624233	1953210
449741	7786039	1996011
453668	6000531	1962510
455590	6482933	2031510
457982	5643228	1978410
460299	6551433	2001511
466074	7358238	2183111
466708	6510733	2104211
468273	6269832	2040510
470456	6898435	2040110
470859	6910335	2074411
471797	8312542	2172911
478489	6063631	2053510
482332	6587234	2189011
486088	5914930	2124111
487349	7063936	2371412
489981	6024631	2081011
490363	6515833	2182011
491509	6136031	2287012
492106	8675244	2225111
494303	6733434	2287912
500036	7011935	2147111
501305	6549133	2211212
502663	6929436	2171111
502863	6667834	2181511
