Experimento 2
n-random	VectorInsertion[ns]	ArrayInsertion[ns]
52541	695304	145401
53076	681204	182001
56773	687603	211601
57111	646904	193501
57798	704504	173700
63036	735004	200301
63971	829104	310402
64254	740304	253801
66519	970905	216901
67899	992905	187601
68645	1072905	230501
69370	1017905	217201
70701	1008305	245102
71928	1020605	204601
77195	1117206	256301
79511	1077606	255101
82828	1127206	250102
84754	1170206	287501
85397	1144106	354202
86205	1242706	411003
87749	1162706	243101
88402	1150706	244401
90016	1163906	250901
99849	1257606	301502
100986	1303906	295802
102990	1437108	334901
104461	1312607	333601
105311	1357906	290102
106464	1294306	335602
110414	1360407	306601
114297	1359606	368302
115135	1606608	334702
116838	1388007	361102
117976	1428007	392802
119738	1446708	510102
119783	1477808	330001
119972	1415708	385702
120654	1657708	520203
125306	1445807	391902
126135	1572708	587403
131281	2071910	389002
132408	1966910	376502
133313	1985210	414502
134006	1939910	434902
134415	2028311	370302
135614	2410512	632003
138106	2334512	661103
140588	2128611	430502
141325	2115111	440802
141573	2011010	621004
143552	2052610	433403
143658	2406113	634203
144127	2437413	594103
145337	2493413	452602
148732	2446313	676903
150896	2208112	454602
154418	2233811	654803
154534	2331912	446903
154756	2169211	426302
155717	2131911	460103
157801	2591013	704503
164872	2449712	527903
166463	2668314	732104
166498	2292612	536003
167999	2672614	707903
168318	2273711	463503
169181	2287112	485702
173573	2279711	778404
174781	2353112	499903
175092	2305612	549303
178051	2352412	770304
188235	2456612	518703
188433	2464713	830604
191467	2922015	607103
192051	3000916	903304
192692	2849915	850304
193092	2443313	583903
194217	2519413	875104
196530	2459612	940105
199511	2738514	843005
200593	2653114	552503
201046	2502412	885505
205620	2862815	903005
207719	2800914	911005
210241	2631914	644503
215195	2714014	945805
220079	3053316	674703
221624	3204117	963104
224211	3544418	1052705
224517	3440618	1009305
230214	2809914	705304
232265	2917414	1005206
235032	3136616	1028005
241009	2888015	689703
243305	3034216	747204
245599	3633718	1085506
246077	2924915	742604
247521	2929715	719404
249413	3044716	1024705
253336	3598819	1135706
255120	3587018	1197206
261673	3053216	811904
263126	4491123	790704
265381	4267222	773604
265579	4370322	1161106
271877	3922220	1212207
274476	3975221	1208406
274628	4826425	834904
275632	4874725	784004
277356	4221121	1291007
278317	4764625	859404
280613	4043521	1288406
283557	5705330	1264606
285792	5213927	853804
286759	5016026	832004
289329	4123021	1244106
291530	4647123	1287107
292553	5077626	851504
296519	4182921	1285107
299607	4466623	898604
300155	4171821	1327307
300795	4173421	1319307
301336	4171421	893805
306822	5232627	917304
310629	4270922	1400807
311476	4875025	930504
317063	5272427	938305
318038	4387822	1387107
319297	4816925	1404707
320430	4743824	1429008
320499	5159926	1377007
321027	4369622	1371907
321378	4830624	1485308
329778	4455523	1465707
330345	4480023	1465708
331353	5347827	1445807
337342	5326727	995805
337475	5407227	1449308
337503	5077126	1439607
339475	5216327	1529208
346172	4673023	1462208
347366	5063026	1021505
347400	4597924	1510907
348677	5067326	1050605
352279	4652324	1085305
353360	4662524	1051705
355667	5192926	1585009
357092	5479427	1605409
357890	4705924	1556908
358270	4738624	1566908
366920	4741025	1604608
373563	5855330	1631108
376916	5258427	1635909
380371	5958731	1137705
380619	4901925	1111905
393527	4983726	1832709
395431	5529328	1735409
395709	5007126	1717808
396250	5989631	1738809
399505	5578729	1744709
406539	5692829	1779109
415366	5201427	1831309
416476	5442528	1824909
418486	5177526	1835610
420966	5230726	1835810
423006	6116731	1838109
423281	6379732	1869710
423875	6381233	1846109
424225	5837230	1882610
426004	5527928	1890910
426409	6273032	1876810
426995	6124931	1882210
428106	5296727	1856709
429035	5984731	1892309
432728	6381133	1938210
433884	5379428	1878109
445018	5583228	1936910
448086	6642034	1946510
448573	6203632	1346407
452653	5588028	2088411
453233	5512728	1972710
459210	5520128	2019410
459247	7123436	1361807
462676	6676534	2109911
