in-random             VectorInsertion[ns]             ArrayInsertion[ns]
0 894219  48931615  50217
1 307096  13726904  41486
2 437610  19008598  48471
3 958802  32619214  40299
4 899396  31030508  49029
5 123438  3558542  37785
6 535112  19994774  47143
7 675447  21352232  42394
8 670861  21571397  51125
9 709760  29109073  37924
10 477458  18852780  31289
11 528221  19378135  44210
12 902566  31501735  48540
13 384463  13217193  37785
14 125073  3544853  29543
15 787631  29350658  47563
16 447336  14119348  48052
17 729695  29078831  34502
18 810065  29978331  45607
19 373297  13191491  45328
20 106468  3351180  28775
21 415824  13673544  41067
22 301156  9055422  32267
23 672278  21078099  49309
24 335763  12661946  39531
25 798949  30368681  36598
26 745286  28673675  45118
27 811801  30453400  50636
28 398219  13370846  39600
29 897137  30922671  43861
30 551784  20037587  43861
31 836880  30593783  39810
32 126309  3525996  34432
33 501085  19169306  44350
34 64727  2028853  28077
35 982765  32701837  38972
36 127293  3511259  33734
37 737247  28551870  44629
38 826017  30596089  47144
39 429686  13721247  38274
40 128970  3574048  34013
41 331653  12360994  31219
42 341528  12567868  45677
43 618848  21106805  41068
44 629650  22380382  42255
45 714177  38544857  38343
46 582624  20801314  48681
47 263186  8784083  33943
48 850654  30067311  49728
49 298156  9087759  47283
50 113189  3392876  30731
51 421834  13849896  42115
52 323494  12546636  28565
53 657532  25388217  43023
54 101232  3375834  37785
55 861320  30772161  42045
56 177389  5517483  39880
57 379306  13452003  35131
58 349310  12596364  33665
59 99993  3257172  25003
60 301242  8902607  39740
61 818594  30372173  47074
62 480573  19141578  35690
63 920035  30823356  51055
64 322621  12559976  38553
65 104063  3271699  30102
66 926610  31674944  40438
67 738841  28691904  40369
68 370914  13223060  46585
69 139382  5045209  29683
70 830611  30320560  40020
71 283263  8756636  33874
72 125898  3555609  29055
73 549272  19879603  47703
74 667001  21608343  48819
75 964514  31812744  40019
76 281717  8934176  45677
77 990072  32810932  51823
78 704918  28291217  36598
79 378835  13105934  45956
80 661883  21461884  49309
81 998510  32320987  40718
82 715301  29148045  37226
83 380273  13233536  35690
84 670417  21229518  49449
85 114416  3434013  29683
86 539402  19521940  47493
87 780210  30245340  43302
88 689193  21489192  40718
89 825401  30260426  46864
90 409827  13612850  47353
91 701194  28438376  31568
92 987180  32210497  46934
93 330368  12649514  36319
94 891779  30551668  40648
95 91182  2306547  29473
96 240133  8564709  41486
97 214183  8136015  29403
98 422681  16235784  53360
99 760257  41286242  34782
100 853935  30876715  49867
101 184165  5748591  41975
102 242096  8397925  32686
103 511533  19415081  34851
104 180200  5500512  33455
105 124447  3524668  34712
106 494110  19196405  41696
107 185425  5636006  36667
108 486907  19348382  40438
109 251798  8690076  36946
110 688296  21222464  41556
111 539341  19922766  44280
112 355582  13015418  34293
113 978868  32131505  41277
114 646279  21192083  51684
115 942509  32242973  42255
116 863633  29985805  49449
117 341316  12775370  41347
118 738805  29458215  34153
119 765913  28813779  47423
120 779659  32417510  60903
121 788262  31309948  36807
122 904819  31460249  48750
123 421961  13939504  40299
124 582294  20091226  105671
125 834686  30264476  47563
126 975650  32262250  40159
127 375805  12836622  36807
128 792299  30047755  46934
129 510268  19540588  35968
130 808802  29307844  50566
131 80217  2125794  28845
132 477690  19295371  36388
133 380812  13250159  44210
134 872281  30531275  40229
135 995142  32697786  48191
136 876839  30820003  41068
137 941619  31644074  50217
138 844844  30411425  41207
139 847717  30197637  43582
140 769585  29862533  37785
141 371574  12969043  35061
142 941218  31820496  56083
143 302581  9462324  46236
144 541864  21622033  38623
145 59346  1796976  27728
146 132980  3690685  29753
147 901087  30921275  50845
148 457699  14703091  51124
149 305808  9305108  30591
150 976284  31867151  42115
151 154108  5263256  30452
152 104337  3255705  35690
153 981149  32747864  48541
154 741376  29161804  36039
155 601649  20689915  50217
156 491210  19230906  41487
157 794582  29809593  35200
158 867272  31082890  48052
159 440444  13968767  49867
160 507644  19233701  37296
161 282594  8778706  34992
162 946201  31919183  47633
163 330849  12620809  41067
164 169599  5390929  32058
165 624076  20587317  38832
166 328557  12437053  38553
167 484062  19280984  40439
168 500057  19499101  36527
169 642574  20705630  40229
170 206410  5905388  34362
171 773017  29817554  47074
172 101449  3262131  30941
173 690132  21856983  39810
174 315422  12217958  29194
175 354971  12790526  44839
176 52380  1591430  29892
177 200796  6010780  33455
178 73804  2042402  29613
179 810435  30488322  44769
180 288443  8743156  36388
181 175873  5565744  33176
182 972858  32067669  52242
183 740985  29106488  35760
184 499448  18877016  32895
185 544144  19969630  44979
186 973626  32346339  37226
187 431581  13499496  41138
188 940826  32029814  47703
189 426829  13881535  48121
190 272701  9450939  38623
191 425313  13613200  36876
192 709166  28713136  38134
193 861637  30808200  42953
194 111208  3258709  33175
195 421600  13400669  40369
196 112871  3393295  26400
197 240888  8333879  30871
198 618146  20910618  49379
199 706589  28835989  32337
