i
n-random             VectorInsertion[ns]             ArrayInsertion[ns]
0 543709  12929667  3162117
1 725136  18406096  2279712
2 761630  20505307  2406412
3 681089  11979362  2798015
4 634387  15229679  3944021
5 128208  3701819  448703
6 373925  6909236  1208206
7 506340  10712756  1504708
8 747397  14741377  3047716
9 489041  8647945  2132311
10 289339  4806925  844005
11 473238  10340954  1392107
12 802758  14971178  3517918
13 289389  4496224  861504
14 156001  2615014  464802
15 886056  16392186  3012616
16 256136  4564924  1103905
17 438604  7668041  1883809
18 718047  14480076  2117211
19 203166  3126416  667604
20 123885  1977210  411902
21 652611  11025558  2406513
22 582403  10909557  1795409
23 563206  10689956  1812009
24 468511  10695656  1354407
25 315311  6913836  933205
26 201679  3324618  629403
27 531919  10805656  1545908
28 230514  4330423  656703
29 224147  4172522  654204
30 946993  17683992  3267217
31 180501  2975416  648003
32 676947  11913762  2273912
33 245657  5751030  699304
34 971720  17787493  4745924
35 198200  3088417  590703
36 556782  10831756  1767909
37 867665  18378195  3261117
38 299322  4947725  928205
39 935369  20306806  4264323
40 474349  11504160  1384007
41 240876  4500423  684204
42 650446  13096968  2012311
43 604676  11880762  1790809
44 892174  18784198  3430718
45 111005  1864510  419602
46 945430  17464792  3792619
47 973758  20294706  4284423
48 229909  4518023  705204
49 978215  19858904  7763440
50 616834  11785562  1897810
51 431429  7720940  1893210
52 690874  15362180  3090816
53 153515  4089222  524103
54 396678  7377138  1222606
55 433594  7817541  1877710
56 355645  6493234  1073606
57 221707  4162721  652104
58 928900  17640092  3520518
59 517690  10101453  1500608
60 488069  9117447  2122311
61 329618  6105431  995506
62 867762  17170189  3270417
63 484483  10522755  1424508
64 566627  11628961  2459712
65 286754  4825426  882804
66 472644  10296054  1435608
67 180650  3883220  545403
68 746901  16259485  2915315
69 349074  8536044  1050606
70 312282  6312233  1363407
71 961868  20237706  2943415
72 534830  10855357  3000615
73 322114  5947131  1449907
74 617517  11097258  2780715
75 589036  10426154  2594714
76 384346  7590239  1664109
77 241941  4086921  733704
78 113760  1836410  344702
79 745249  16817487  2235112
80 348489  7352939  1041705
81 963643  19943704  4839025
82 963722  22419617  4129322
83 184422  3066516  573903
84 321719  6995237  1033905
85 186957  3228417  559103
86 475775  14075173  1518408
87 836628  17581692  3620019
88 386960  6241233  1194606
89 951077  17298090  3269217
90 783755  15898683  2846915
91 390114  7051637  1144006
92 803374  16528886  3250517
93 173969  3166317  741504
94 151780  2955515  568303
95 396420  8438444  1158706
96 283136  5114927  1232707
97 998393  20069004  3577919
98 935291  18823098  3615919
99 592419  12607666  1771309
