i
n-random             VectorInsertion[ns]             ArrayInsertion[ns]
0 576456  12397065  2583714
1 731891  15841982  2216912
2 446582  7810841  1487408
3 863037  16324685  2535513
4 659234  11323759  2711414
5 488664  9959052  2181612
6 716049  14439775  2259412
7 833195  15211479  3657320
8 452704  6787135  1312407
9 253659  4058321  784804
10 762780  15758482  2267512
11 868255  16150385  3482818
12 611411  10618155  1798110
13 144666  2538413  402602
14 698803  12647266  2065211
15 447898  7689440  1947710
16 149079  2525713  444003
17 575814  11591560  1802710
18 701305  15381580  2693014
19 981363  17360691  3459518
20 247838  4254122  748804
21 294742  4939426  1278606
22 764751  16880488  3009916
23 493651  10219654  1470607
24 706060  15125479  2719114
25 992572  17313691  3420518
26 661068  11355559  1941810
27 251473  4415523  793304
28 926139  17483792  3511518
29 666495  11983363  1995110
30 726658  15353280  2850815
31 109583  1794909  302002
32 385351  7075337  1683109
33 413861  6955336  1770409
34 146060  2509513  433103
35 291642  4657124  975805
36 526389  10934457  1572008
37 143163  2476613  428103
38 578435  11030257  1688109
39 431823  7536339  1851310
40 818616  15914283  2425513
41 433208  6744135  1871510
42 869120  16257685  2543413
43 148217  2534413  408502
44 890076  16890688  3466319
45 533190  9874551  1554608
46 245635  4378323  716104
47 337633  6632334  1430808
48 214767  3738919  656804
49 694720  12527765  2040111
50 351688  6765635  1532308
51 750326  14745577  2261512
52 339438  5712630  1502108
53 219094  3874120  608203
54 443007  7957642  1325907
55 138587  2619813  621904
56 253642  4687324  1096806
57 433483  7506239  1875610
58 543793  10281654  2483112
59 877048  15766082  3616519
60 142540  2541013  402002
61 837649  14692077  3616519
62 154286  2586313  466903
63 998860  17363090  3823820
64 631021  11068058  1927110
65 717309  15241580  2797014
66 183079  2851915  663904
67 785233  16640787  2991515
68 835221  16653987  3405718
69 378496  7084237  1131606
70 617034  11695761  1829209
71 558841  11241159  1701109
72 435201  7735440  1883410
73 788289  16327986  2436712
74 906512  15852383  2710114
75 830580  15681382  2576014
76 495359  9580450  2320012
77 885863  16653887  3951620
78 806507  14414276  3138116
79 829200  14274975  3602918
80 470106  8309144  2031610
81 808751  15321880  3208217
82 851475  14517076  3385818
83 894366  15028778  3881320
84 138733  2532214  523002
85 948017  16246485  2802115
86 746520  15192479  2308712
87 651793  10748856  3035316
88 627957  10748256  2805115
89 237631  3913020  695004
90 445412  7135837  1546708
91 304309  5225728  1390507
92 555762  11546160  2207312
93 117520  2140711  436002
94 878169  18333996  3156316
95 568232  10880757  1724409
96 461026  10584655  2224712
97 387053  6805436  1762609
98 263352  4174822  1175306
99 655484  11641861  1932110
