in-random             VectorInsertion[ns]             ArrayInsertion[ns]
0 846494  42561984  51893
1 624046  21588648  43582
2 193036  5791894  34083
3 324028  12558718  32756
4 267905  8712356  29124
5 605414  20802920  46236
6 899238  31718247  36667
7 415016  13388796  39391
8 939343  31813302  48401
9 829186  30624933  41137
10 719758  28693301  38902
11 298150  9177926  39182
12 868759  31304291  40788
13 297352  9029581  38693
14 742025  29514159  42185
15 550225  20214009  45957
16 603037  20506509  42254
17 278643  8764598  35061
18 224205  8061284  36388
19 633745  21373324  44350
20 844069  30806454  38134
21 444498  13924697  42674
22 902982  31700996  49099
23 659501  21479834  43093
24 442041  13840397  34502
25 899291  32097142  48191
26 801253  30596507  36877
27 641529  20714431  49728
28 201948  5794967  35341
29 95065  3211146  29194
30 618974  20830439  49797
31 636134  21089345  40160
32 428247  13518354  41556
33 192226  5764166  31639
34 554855  20181393  38832
35 255164  8520289  43023
36 260464  8640278  33873
37 602068  20403212  41347
38 559206  19805780  51544
39 782779  30091267  41836
40 983371  32318613  36108
41 759295  29672073  43582
42 495611  19270228  37017
43 615450  20314653  48681
44 665050  21558825  48052
45 686657  21845948  47912
46 731175  28661382  34852
47 143694  5192367  28077
48 747644  29708041  40997
49 326970  12645952  34642
50 325181  14773213  45747
51 695510  29599786  43372
52 260462  9040266  42394
53 329608  12880134  37086
54 277396  8960017  36248
55 402465  13452283  35340
56 231397  8141813  29683
57 871082  30864912  47981
58 272302  8868104  42674
59 719480  29016322  33175
60 261501  8463787  34153
61 556352  20163164  48122
62 322712  12554039  37785
63 295522  9146566  41905
64 805403  29521632  38972
65 321086  12628841  38762
66 148570  5252012  25772
67 424288  13748415  46166
68 142864  5133280  30032
69 266750  8790370  41347
70 843720  30328941  42045
71 747944  29656079  43372
72 285860  8950379  35271
73 775222  29266218  37854
74 989062  32609436  103855
75 272384  8804059  31290
76 979535  31964092  36457
77 579481  20486325  46795
78 927921  31691776  37296
79 485749  18742778  37436
80 435963  13963669  47283
81 756164  30152938  38204
82 258475  8438853  36318
83 534876  19371081  44280
84 343493  12765592  34014
85 138554  5077685  40020
86 153516  5226100  33804
87 301094  9133297  37505
88 838792  30275093  40788
89 701919  28717466  40579
90 773192  29548242  37995
91 98496  3227768  28217
92 116445  3307738  28914
93 76340  1967671  28286
94 627115  21066367  48122
95 379017  13254350  45049
96 477542  19293835  35271
97 354984  12854711  42604
98 286523  8814396  36598
99 838646  30570177  46585
100 558951  20241597  47703
101 331110  12420570  34572
102 189310  5576640  30660
103 865728  30576881  46585
104 845074  30778167  40578
105 832496  29929862  97779
106 244633  8459736  28496
107 459201  14258474  52731
108 703403  34683617  32686
109 701432  29143645  38902
110 503512  19992818  47632
111 741348  29030849  39670
112 351957  13045520  41766
113 212520  8080422  30382
114 656043  21619658  49100
115 703248  28531476  34153
116 850172  31218454  47563
117 467380  19052949  32058
118 421221  13646794  41696
119 297022  8971960  41556
120 250347  8561985  33454
121 771352  30315322  51754
122 81383  2042124  28007
123 761492  29575620  40369
124 188172  5817736  37855
125 52413  1532832  82903
126 305510  9306086  35270
127 360214  13561377  43372
128 819143  30593225  41277
129 344310  13141554  36178
130 862525  31147634  46655
131 822507  30385374  32267
132 564050  19950354  45886
133 419602  13853179  48540
134 929290  32140445  40928
135 754160  29443618  45747
136 77689  2037653  28915
137 908550  32028138  40439
138 75330  2146258  28845
139 521525  19322401  35200
140 422841  14083798  48540
141 346211  13125630  44560
142 518528  19833228  40788
143 862534  30141694  48750
144 67412  2064961  27728
145 263921  8941020  43791
146 257311  8600119  36178
147 311416  12621368  37296
148 59050  1835110  26400
149 661406  21295799  42744
150 619757  20742367  50985
151 291968  9238339  60344
152 568969  20442115  42814
153 318482  12658104  31290
154 859773  30435032  50077
155 598647  20925634  52661
156 78165  2078930  29124
157 692359  22028446  42185
158 330429  12349541  32057
159 534221  19771976  46445
160 605122  20973545  48820
161 795646  30353246  38483
162 348553  12922528  44839
163 177652  5758649  33175
164 906538  35357736  53709
165 688022  23917404  45258
166 424944  15016125  62230
167 993414  38317101  62998
168 855578  34675725  45817
169 469536  19233561  42115
170 57945  1619506  31429
171 796870  30069127  40788
172 992376  32118095  48820
173 839397  30654128  40229
174 843813  30182691  43302
175 189388  5656260  35829
176 74887  2132709  29334
177 267946  8964906  43652
178 876320  31225788  39461
179 98423  3196828  31918
180 549480  19634317  45887
181 459536  14240106  40229
182 853662  30636108  39181
183 611355  20297191  49728
184 423260  13920925  42883
185 970075  33348929  44699
186 904308  31705815  60064
187 389799  13858486  37226
188 544846  20524878  42325
189 164340  5555268  34921
190 615468  21030118  41346
191 410576  13729418  52452
192 686538  22616380  48121
193 738120  29329495  33734
194 991351  32328320  48401
195 158912  5369836  39042
196 768544  29535321  36038
197 275065  8616043  40020
198 526832  19790903  41975
199 748216  29551734  36038
