in-random             VectorInsertion[ns]             ArrayInsertion[ns]
0 713631  30390402  39531
1 768940  30849337  50077
2 471392  19129076  33384
3 186032  5523490  32756
4 674886  21710453  46934
5 296678  9349529  45397
6 351511  13338929  39461
7 909651  31954593  41068
8 105611  3257103  32407
9 586247  20762133  49099
10 584798  21074189  48401
11 874386  31092458  38483
12 438026  13995587  49658
13 236614  8667657  41696
14 147515  5261581  30871
15 165032  5512525  48820
16 993581  33433647  46515
17 102800  4154788  31290
18 559322  27576659  62020
19 172406  5820040  36458
20 384027  14039099  46934
21 462878  15038405  44001
22 872269  35045960  40578
23 341054  14644703  62020
24 751199  38561060  35969
25 469729  18994141  34293
26 416870  14261268  49378
27 685277  22352165  48820
28 597141  20693967  41556
29 548075  20353904  48470
30 817761  31223902  48890
31 727472  29150001  33106
32 245760  8410497  42325
33 227669  8382490  31289
34 366917  13374339  42045
35 140026  5214437  28566
36 58564  1623697  34502
37 89391  2357113  26680
38 705540  29187436  32686
39 594675  20396019  54477
40 835845  31325383  47004
41 214404  8065475  35480
42 576971  19992190  41487
43 576853  20654785  49448
44 987832  33211897  41417
45 277194  8704394  35270
46 493950  19565033  38902
47 268043  8891571  43163
48 686339  22520555  47284
49 707727  28640500  30102
50 958832  32748423  48261
51 360690  13237727  44420
52 773507  29326562  34712
53 615157  21203537  49030
54 144228  5213110  29822
55 262661  8822916  32547
56 202298  5939541  44699
57 989342  32067529  40229
58 633039  21589207  43651
59 247464  8616182  33106
60 974681  32697857  39671
61 299829  8936690  40578
62 442634  14323987  48052
63 381047  13713703  35200
64 599821  21217645  38833
65 347323  12549011  35829
66 396400  13217333  42604
67 962724  32775940  48122
68 54509  1657850  30312
69 516281  19795164  37296
70 524813  19241313  36039
71 143518  5199211  30451
72 61789  2005037  25702
73 134350  3780641  35690
74 954215  37908522  41975
75 472553  19938621  33525
76 729904  30120601  48820
77 786410  30059279  37715
78 571850  20466978  51544
79 406933  14031207  46026
80 928723  38095350  40578
81 223703  8180645  35131
82 130437  3481436  31639
83 91490  2225459  28007
84 411433  13704833  44280
85 194040  5870048  35689
86 357231  13139738  44559
87 328091  13016327  42953
88 364784  13118227  34292
89 98492  3241597  30381
90 568725  19871711  35061
91 594836  21067693  47073
92 667239  22165687  42534
93 616268  20310182  37365
94 193838  5654025  38833
95 588311  20745300  48331
96 350995  13216425  30940
97 810750  30183180  39600
98 779794  30175566  69004
99 478517  20171196  37715
100 56165  1612871  28076
101 576908  20272048  40928
102 660855  21392950  46515
103 902365  32226769  54128
104 99807  3240131  30381
105 551910  19559027  34852
106 431886  13828734  38902
107 229849  8445348  40858
108 605775  21300967  47144
109 571317  20165189  33873
110 354844  12670118  35549
111 774620  30418898  46585
112 571582  20566784  36458
113 911243  31199737  50775
114 870924  31680812  48611
115 244881  8548226  32058
116 90478  2124257  27658
117 340080  12687858  34363
118 284857  8806085  34362
119 122802  3666658  28985
120 514097  20120211  41207
121 838044  30764967  41626
122 926952  31534631  48820
123 59289  1714911  30451
124 993029  33346763  41137
125 600795  20275261  41417
126 817185  30749253  47563
127 937424  32281316  40719
128 372982  13331874  44490
129 381291  15533029  45957
130 369681  13594133  42115
131 155085  5515178  26610
132 440851  14484344  40090
133 145315  5182938  29683
134 851834  30385584  43791
135 138441  5166386  35899
136 427125  14076395  43931
137 566730  20531652  35270
138 855882  30449349  48820
139 54519  1638364  31568
140 807916  31134154  47493
141 357595  12812526  37226
142 240674  8303498  32616
143 787585  30039514  47912
144 546060  20520199  45538
145 294413  9094883  36458
146 310484  9161513  41137
147 878645  31355974  45886
148 719808  29709508  35759
149 392495  13062283  39391
150 509207  19460549  42743
151 78755  2065451  27867
152 259520  8931102  31918
153 735731  29740169  35900
154 711760  28576803  40997
155 341082  13092106  29893
156 186043  5716883  44071
157 927068  32162165  39042
158 477835  18751578  42395
159 661126  22061831  41346
160 860146  31072693  41347
161 580567  20092064  51893
162 317822  12653006  30730
163 266288  8940252  44141
164 427441  13989092  37854
165 542060  19618183  38692
166 399559  13407444  39600
167 295003  9204396  46446
168 826763  31368545  36179
169 573005  19886937  36737
170 217614  7997100  29264
171 109180  3306481  27448
172 664964  21931505  48051
173 516176  19943580  37715
174 916212  31178015  49309
175 232311  8409449  40719
176 471125  19498054  30522
177 874948  30991397  38763
178 815435  30407653  47772
179 968915  32615443  42394
180 698948  21549118  50216
181 695143  22315289  47423
182 222822  8366146  40788
183 394473  13624934  38273
184 732043  34708901  40230
185 179384  5974323  30032
186 780700  31397740  37366
187 60886  1791179  30730
188 302880  9265927  37715
189 708639  29412259  41627
190 395805  13626260  37576
191 228636  8524619  39531
192 454839  14401581  38763
193 429295  13618438  38623
194 245183  8322425  37087
195 485205  19704998  39531
196 956454  32742346  40578
197 365075  12893473  31289
198 290150  8806573  40229
199 601774  21298523  49379
