in-random             VectorInsertion[ns]             ArrayInsertion[ns]
0 9442  138268202  26301
1 4269  28068442  12100
2 1276  2607014  3700
3 3569  19675900  11500
4 6542  65245931  18200
5 9543  139306708  26500
6 1929  5889330  5500
7 3644  20725705  10400
8 5883  54676778  19200
9 7497  86220338  20900
10 7538  87377045  21000
11 7712  90973262  21500
12 9442  136702095  26200
13 5300  43157220  14900
14 2831  12369062  9201
15 2249  7849539  6300
16 8566  112231470  27300
17 1155  2146311  3500
18 5609  48474746  15600
19 9248  133659479  25800
20 5515  47858243  15300
21 6526  66257737  18200
22 7092  77857896  19800
23 4750  35972483  13300
24 6973  74586079  22400
25 7978  97880898  25500
26 3782  22265913  10500
27 8472  110394361  23600
28 3504  19126098  9900
29 6183  59222301  19900
30 1678  4485823  4900
31 5231  42481316  16700
32 8184  102967823  26100
33 7105  78633700  19900
34 4889  36794887  13600
35 7815  94658581  24900
36 6971  74518579  19400
37 7903  96529791  22100
38 8299  106121439  23100
39 2979  13943770  8900
40 2577  10333153  7300
41 2219  7761739  6301
42 8684  115582287  27800
43 1744  4752824  7700
44 3705  21338909  10400
45 1314  2718614  4300
46 8471  110150660  27200
47 8632  114066880  23900
48 5356  44479126  15000
49 7932  97627696  22100
50 8029  98780902  36501
51 2629  10694954  11500
52 6482  64855530  18200
53 1854  5439827  5200
54 8215  102844523  26100
55 2884  12900066  9400
56 9664  144862236  45100
57 2508  9727049  7100
58 4007  24783326  11200
59 5061  39783802  14000
60 4237  30393555  12100
61 7172  83434724  23100
62 4298  29659951  12100
63 1938  5937030  5500
64 8633  126382943  27600
65 3007  14135472  8500
66 5314  43610021  17100
67 3241  16329483  9200
68 3300  16816385  10600
69 1797  5185326  5201
70 5108  40039203  14200
71 6063  56636788  19600
72 6396  62506518  17800
73 3958  23985922  11100
74 7619  88790851  21200
75 5184  41304210  14500
76 7196  79355304  22900
77 7698  90513460  21400
78 1106  1994210  3300
79 2675  11118657  7500
80 2766  11951661  7800
81 3693  22455714  12100
82 6359  61863014  20400
83 2436  9375548  6900
84 6180  61686214  19700
85 6107  57438792  18300
86 1123  2050910  3300
87 5849  52242366  18700
88 5591  47913544  15600
89 2746  11803460  7700
90 6662  68055746  18500
91 9032  124710134  25100
92 5692  49844953  15900
93 3449  18325693  9700
94 9321  134554084  25901
95 9175  130302062  25700
96 8805  119112006  24600
97 3013  14261672  9700
98 1408  3190916  4000
99 1652  4339523  4800
100 8065  99188904  22300
101 3124  15246777  10100
102 3710  21402909  10400
103 5289  43008719  14800
104 3935  24112823  11100
105 2944  13556269  9700
106 9279  132845475  29800
107 2620  10630154  7300
108 1253  2534413  3600
109 3667  20591305  10300
110 2617  10700754  7300
111 4805  35561981  15300
112 1076  1852410  3600
113 4026  24819826  11200
114 7030  76610689  19600
115 4309  29221049  12000
116 5231  43346420  16800
117 4180  28205444  11900
118 5045  39787402  16300
119 7341  85670236  20400
120 9896  153845182  27600
121 3722  21246708  24300
122 3170  15867181  9000
123 4432  30639056  13700
124 7589  89622855  24100
125 4268  27959743  13800
126 5305  45875133  17100
127 2808  13046866  9200
128 8270  108039150  26500
129 6114  58706298  17100
130 4508  31855562  12600
131 9717  150557866  27000
132 4750  36293584  14300
133 5701  52359166  18301
134 9825  153429379  27601
135 7982  98875102  22200
136 9767  147955852  27201
137 8314  107226845  23200
138 1716  4834524  5000
139 2868  13016367  8700
140 3877  23966422  12000
141 9976  163006528  30700
142 7277  86633841  23300
143 8621  115810089  27700
144 4754  36753387  13400
145 7372  87310344  23600
146 5013  39721402  14000
147 1121  2220611  3800
148 1708  4734624  4900
149 5244  45217330  16900
150 6459  66126636  30501
151 6146  58586397  17100
152 6782  73247573  21700
153 7536  90935062  24100
154 8481  113961480  26900
155 8680  115523087  24000
156 6367  62364017  20400
157 4969  38558996  13900
158 7818  93692477  21700
159 5415  45351430  15100
160 1877  5520528  6200
161 3442  18405493  9700
162 4644  33109069  12900
163 4767  35000578  13300
164 4433  30795656  12500
165 9164  132741775  25500
166 5180  41951513  14401
167 5583  49588452  18300
168 4696  35698181  14600
169 5457  46735738  17500
170 2233  7895440  6300
171 6875  73279973  19300
172 1194  2261511  3400
173 4124  27302739  13400
174 9140  130342063  25500
175 2363  8883745  6700
176 7947  97648197  25400
177 1895  5630728  5301
178 9328  133789580  25800
179 6875  73819275  19200
180 3969  24908627  11100
181 1968  6448233  5800
182 2439  9384147  7900
183 6389  62944819  20401
184 1683  4447622  4900
185 8398  108265251  39300
186 5899  54578777  16400
187 5441  45582332  17500
188 6667  68128147  20300
189 6655  67551643  18600
190 9211  130321563  48900
191 6078  56569788  16900
192 4145  26804736  11800
193 9139  128707454  25501
194 2495  10190151  7100
195 6903  73671675  19200
196 6937  74411278  19300
197 6179  58870100  17400
198 8788  118060400  24400
199 8092  100020509  22600
