in-random             VectorInsertion[ns]             ArrayInsertion[ns]
0 2645  11517859  7800
1 6857  72451468  22000
2 3043  14372373  26200
3 7299  83125122  20501
4 2658  11511458  8800
5 9593  141403319  27000
6 7201  80584710  23300
7 9984  155053689  32200
8 3007  14299072  8501
9 7876  98484900  25400
10 8062  100631312  24000
11 5131  40991309  14500
12 8373  107163845  39000
13 7560  88411649  21100
14 8658  115278186  24200
15 3369  17980891  9600
16 9936  152301575  44800
17 5694  49804653  18300
18 1700  4803625  5500
19 4096  26350834  13300
20 5724  50267255  16000
21 3742  21534609  10500
22 3640  20586105  10300
23 8249  109191955  23100
24 4010  27026938  11700
25 5684  53135870  16100
26 9939  166837548  27800
27 4459  31397760  14500
28 4060  25907232  13200
29 4977  38978598  15900
30 3962  24701026  11100
31 6896  72971471  19100
32 7897  96396090  25400
33 3302  17195088  9400
34 9955  156187994  27900
35 6328  66796140  17900
36 3663  23786021  12000
37 6487  71041661  18500
38 4036  25215229  11400
39 8839  135930091  25000
40 1525  5753829  4600
41 3494  21392909  10000
42 9958  172125076  27700
43 8452  111730768  23600
44 3282  16762785  9200
45 3175  15613680  10300
46 2841  12583764  8000
47 8446  111294366  23600
48 8176  111738868  23100
49 1139  2142411  3400
50 9614  159560411  26901
51 4738  34606076  15400
52 3789  22047912  12400
53 7943  100519811  22400
54 2734  13555169  9000
55 8972  134355883  25100
56 9131  140575815  29600
57 2723  11876361  8300
58 9531  153010478  28400
59 9599  160354716  27000
60 5531  47066239  15500
61 9432  140326214  30200
62 9088  125986640  29000
63 3943  23986822  12800
64 6030  57051690  16900
65 2561  10157652  7300
66 4074  25523129  13100
67 3565  19625599  10100
68 3474  18901696  9901
69 7788  101820217  21900
70 5244  47637443  17300
71 7563  98738102  21500
72 9598  149600961  26700
73 8119  101292615  22700
74 2787  12261162  9101
75 9216  135956591  29600
76 4203  27723541  11800
77 3295  16885186  9300
78 1915  5753829  5500
79 9957  154447486  27900
80 5574  47817343  15600
81 7419  84565430  20700
82 4110  26254234  11600
83 2307  8358142  7700
84 9619  149787262  28800
85 6090  58345097  19600
86 4474  31011258  14400
87 9126  128667254  25500
88 3394  17745590  9701
89 6305  61371812  20300
90 5572  47426841  15600
91 8071  100208210  22500
92 7604  88764051  21200
93 4696  34361375  13300
94 6873  73293973  22000
95 3685  21168308  10400
96 8401  109718858  27200
97 9321  133876780  29801
98 8391  110497062  23700
99 4036  25098127  11400
100 7493  86673841  20900
101 5281  43215420  15700
102 4344  29022748  12200
103 2483  9666449  7000
104 2452  9323147  7000
105 4251  27648441  12100
106 8402  107976249  23300
107 6539  66518739  18300
108 5942  56296586  19300
109 6036  56086785  16900
110 2282  8297043  6500
111 1511  3698419  4500
112 6701  68728749  21400
113 3043  14600674  8700
114 8557  117333496  27400
115 2186  7535539  6300
116 6762  71837265  18900
117 3099  14852276  8800
118 7009  75675685  22400
119 9761  146617645  27200
120 9918  151820472  27701
121 4626  33358169  13000
122 2828  12422864  8100
123 4787  35466580  13500
124 8617  116669293  24000
125 7424  84642031  23800
126 9532  142242323  26601
127 9570  142718525  30800
128 6907  82255018  20700
129 9624  143958732  26800
130 7960  97321895  22100
131 5570  48310346  15600
132 1201  2288212  3500
133 7064  76220787  21200
134 2060  6844635  5800
135 5069  39468401  16300
136 1555  4077321  4600
137 3014  14140572  8500
138 8719  116851094  24400
139 6394  63557823  18100
140 6355  64225927  20700
141 7390  85442235  20700
142 1012  1690608  3100
143 5798  53015770  17600
144 2650  11016656  8100
145 7885  95552386  39000
146 1667  4412023  4900
147 5857  52944069  16400
148 9012  125337638  25100
149 5591  48103044  15600
150 1614  4156422  5400
151 3774  22136812  12300
152 8588  113285376  23901
153 5780  51461561  16200
154 8677  123889830  24200
155 5519  47256740  17700
156 3452  19445099  10500
157 6552  66419438  21100
158 3869  23978522  12600
159 6244  61874415  45900
160 2750  11845360  8000
161 9646  148393955  40900
162 1643  4280522  4900
163 8551  117531398  27500
164 1362  2956215  4700
165 8874  123999730  28501
166 6415  62844219  20600
167 3265  16445084  9200
168 4438  30200854  12500
169 5403  44593826  15101
170 9293  132780775  29700
171 8860  124804935  24700
172 9764  146862547  27200
173 1762  4980325  5200
174 7126  78212898  22800
175 7473  86692141  21000
176 1586  3981120  5100
177 7793  92832373  21700
178 9619  141906621  26901
179 6443  63879124  18000
180 2807  12609364  9200
181 7829  94857682  22000
182 7852  100311010  35501
183 3818  23017517  10800
184 4287  29688651  14000
185 1670  4590923  5000
186 4175  28375245  13500
187 7905  96872392  22000
188 7524  87470945  21000
189 1205  2309312  3600
190 4067  25828332  11400
191 1307  2757214  4000
192 6076  56655288  19500
193 2134  7139336  7000
194 7751  92780572  38000
195 7924  96095789  25400
196 1014  1726809  3300
197 1463  3598518  4400
198 2081  6773935  6900
199 8113  103093324  22600
