in-random             VectorInsertion[ns]             ArrayInsertion[ns]
0 1165  2247112  3800
1 3179  15827580  9100
2 7473  86793442  23900
3 8398  109208955  27101
4 9847  149363859  27201
5 2592  10432053  8300
6 3460  19000096  11200
7 6702  69356353  18800
8 5113  41315510  14400
9 9109  126348142  25200
10 5599  49824354  18000
11 7937  96482891  22200
12 7526  87823946  21101
13 9230  130394463  25700
14 5851  52410167  16300
15 3907  23575220  13800
16 2081  6807134  5900
17 4725  34114074  13300
18 2237  7824840  6300
19 2350  8585144  6700
20 4074  25946732  11300
21 8850  122214421  24600
22 3118  15106776  8800
23 3877  22989917  10800
24 5601  47840344  15600
25 6902  73434873  34301
26 9092  132507074  25400
27 1636  4220121  4700
28 2160  7231137  7000
29 2325  8479143  6600
30 4009  24839127  11200
31 6160  58651498  19800
32 4277  28628546  12100
33 3085  14952976  8700
34 8580  114272081  23800
35 2833  12461164  7900
36 9160  128729455  29300
37 6045  56261086  16900
38 7394  84042828  20600
39 8150  102256520  22800
40 1261  2562313  3700
41 7747  91818967  24800
42 3554  19487299  10000
43 3501  18875497  9800
44 4495  31480860  14500
45 6110  57550793  17100
46 5024  39112999  14000
47 3991  24791126  11400
48 9709  144299834  26900
49 9362  135393889  26100
50 2504  9749049  8101
51 4144  26354234  11600
52 3569  19709600  11600
53 7919  95757887  38500
54 8662  118620304  24200
55 5446  45552832  17500
56 4186  27017437  13400
57 6330  61280612  17700
58 3619  20216203  10200
59 5416  44984529  15100
60 3130  15139677  1089205
61 1261  2549513  3700
62 6597  66885040  18400
63 3905  23645420  12500
64 2822  12298563  7900
65 7909  98393100  22000
66 2909  13347367  9400
67 4353  29010847  12200
68 5305  43119120  14800
69 4582  32935367  12800
70 8071  103634427  25801
71 5432  46271335  15300
72 7230  79747606  23100
73 1306  2691414  3800
74 1589  4003320  4500
75 6995  74770580  20900
76 3293  16732985  9300
77 5714  50923859  15900
78 9963  153269379  27801
79 5589  49060049  15600
80 3562  19683200  10000
81 1539  3712618  5100
82 1461  3366818  4200
83 9951  150952867  27601
84 3752  21645210  12100
85 1284  2607713  3800
86 9873  160344716  31600
87 2238  7751539  6400
88 8040  106042840  35100
89 6555  67883845  18501
90 6803  71776965  19000
91 6283  60985110  17500
92 4736  34786377  13300
93 5777  51774664  29200
94 7612  89418855  21200
95 9885  150528265  40401
96 5170  42270015  14600
97 4225  27741241  11900
98 8100  100083009  22400
99 7538  86929942  20901
100 8473  110218160  23700
101 2209  7614539  18900
102 3211  15866081  10300
103 8835  122084621  39300
104 3123  15215078  8700
105 8580  113954179  23901
106 1360  2967215  4000
107 4955  38072893  13900
108 9035  129520559  28900
109 4214  27954343  13700
110 6351  62888620  33200
111 2105  7090436  6800
112 8754  118493703  40300
113 6677  69145452  18600
114 4126  32896767  11800
115 1167  2349312  4200
116 9899  152171274  40501
117 5525  47154940  15400
118 5689  53196170  17900
119 3505  19831101  9900
120 5631  48990650  15800
121 3924  24200923  11000
122 9286  132255473  29600
123 9833  148323654  27201
124 2578  10627954  8300
125 5293  42891618  14800
126 4897  36648586  13700
127 3667  20802705  10300
128 6161  68301648  18600
129 5648  51165460  26800
130 6712  69564654  20000
131 7075  77318293  19800
132 9623  149441560  28800
133 2351  9556749  7300
134 6966  75757685  22401
135 3908  25325128  12701
136 6770  71291362  18900
137 2719  11559659  10200
138 6505  65445933  19400
139 3222  16340084  9100
140 4361  29259848  13901
141 5383  44387325  15000
142 1398  3102416  4200
143 4034  24982727  11200
144 8417  109436157  26900
145 7350  82410720  20400
146 2329  8359542  6600
147 8527  111474567  23700
148 3159  15371779  8900
149 6757  70813360  18900
150 6068  56946090  18800
151 6940  74272178  19300
152 7070  76153487  22500
153 4916  37366390  13701
154 4864  36768387  15500
155 8431  111557667  23600
156 4290  28806147  12000
157 8689  115716389  24300
158 7671  92216169  21600
159 9024  126447243  29000
160 2112  7007536  7000
161 8483  110659263  23700
162 5925  55600983  16500
163 5100  40297505  14100
164 3441  18250293  11100
165 9355  133835081  44400
166 3547  19564400  10200
167 5021  40120904  14100
168 2949  13458769  9600
169 2309  8259642  6600
170 8239  104474431  27400
171 8462  112627273  23600
172 3992  24910126  11300
173 7441  85160234  20700
174 2201  7659439  6300
175 8041  101026414  24100
176 5329  44149024  14901
177 7452  84844031  20700
178 5988  55361582  18400
179 3060  14493574  8600
180 9945  152524976  27700
181 6972  74990581  19501
182 6814  71288762  21800
183 3398  17810291  10900
184 8632  115246486  25701
185 7611  97123494  21200
186 2671  12212062  7800
187 5732  54484077  18400
188 6907  82008818  22300
189 6075  62154416  17000
190 7810  93262875  21600
191 3133  15141977  8800
192 3017  14214472  9800
193 9115  128026751  29101
194 3829  22649815  10700
195 1295  2679914  3800
196 5952  54455977  19300
197 6829  71255962  30700
198 4972  38557897  14100
199 2026  6461033  5800
