in-random             VectorInsertion[ns]             ArrayInsertion[ns]
0 748011  12553565  3678019
1 600321  11260658  2391912
2 661062  11103458  2784014
3 290645  5642429  878505
4 607090  10153552  2442313
5 750143  10638255  3036016
6 730952  10587655  3282017
7 709290  10092652  3261017
8 216512  2782514  657403
9 570391  10202453  2210912
10 484350  9436548  1901410
11 778884  11831861  2947215
12 122696  1924710  370402
13 967709  17052088  3643919
14 570143  9683750  1700509
15 169879  2672113  521203
16 920005  17447790  4372023
17 439513  6427033  1773809
18 323187  6749135  1138806
19 990607  17776492  4238322
20 264775  5872530  803405
21 702543  11940761  3042416
22 299026  4295022  1306807
23 222525  4481623  973905
24 448297  8696145  1344207
25 909860  17758292  4092421
26 264763  4086521  1360508
27 391720  5775829  1756009
28 669666  13133967  2674314
29 126513  1731109  462203
30 531603  9082747  2294811
31 854507  16484885  3392917
32 473703  7357738  2058611
33 354480  4752125  1041805
34 859225  17563391  4232922
35 888973  16952687  2827515
36 504189  9854251  2593213
37 239392  7496038  1093706
38 393046  6086732  1801809
39 294311  4846525  1418207
40 879776  21255510  2898315
41 193697  3897220  1026906
42 470774  9270448  1513307
43 793272  18062793  2449113
44 660793  10332853  1989410
45 969946  18131594  3079916
46 679714  10398354  2097211
47 592112  11651660  1817609
48 470569  9987852  1506108
49 173596  2767714  570103
50 822699  18298195  2533613
51 738719  14635076  3467518
52 350529  5009525  1587109
53 761937  11321058  2979016
54 782124  16584985  3348318
55 769850  11407959  3115116
56 926842  15832682  4020721
57 951151  14954677  3812720
58 511182  7478738  2246012
59 190512  2560513  593203
60 170150  2390513  539802
61 570422  9339249  1700208
62 296686  4988225  1276207
63 488378  8527244  2210311
64 760697  10254253  3281717
65 816935  14245874  2450113
66 433956  5441628  1868010
67 966543  16247284  2843114
68 696650  9909052  3087816
69 698853  9787850  2736014
70 165374  2345912  538203
71 885251  15990683  2611413
72 208191  2732615  638003
73 883962  15701581  2596713
74 479802  7954341  1421007
75 75722  1191206  240801
76 269946  4869426  1192206
77 580677  9266948  2639113
78 721174  14319074  2803515
79 465301  7769840  2044611
80 733049  10121252  2878915
81 430597  5396028  1925210
82 163024  2359612  471002
83 763939  12359764  3583519
84 941113  16778487  3739919
85 229063  3457818  1023905
86 901000  17264290  2718114
87 309557  5887330  1358807
88 172601  2795615  803604
89 335522  5429328  1611008
90 916868  18495896  3384317
91 167724  2495813  611303
92 619198  11109358  2819314
93 418343  6680634  1998810
94 514161  9177948  2355812
95 497675  7946641  3449918
96 713166  11197658  3583919
97 71572  987205  296301
98 303693  4744225  1753009
99 532064  10764556  2191211
100 750356  10425154  4582423
101 831788  14731776  4913725
102 995458  19899603  4216822
103 468503  7374538  2199611
104 531122  9258848  2946616
105 308325  4731924  1409807
106 948722  18963298  2912316
107 217270  2934515  611703
108 660735  10341753  1958911
109 809235  15057677  2375213
110 611315  9266848  1842809
111 611525  10089852  1815710
112 965463  17352689  2957316
113 916226  15516080  2698114
114 363955  4940425  1592008
115 452980  8994746  1989311
116 617536  10846156  2371512
117 638290  9549249  2896515
118 497800  8055642  3397518
119 837121  16140683  3846520
120 848425  14921477  4283823
121 682266  10753455  2678214
122 349986  5123127  1574208
123 204628  2788214  1479008
124 437467  8276443  2005310
125 354733  5516529  1636308
126 968871  17337990  3315817
127 873082  15459380  2625814
128 290073  4255022  1291306
129 129164  1589608  422303
130 539453  10875556  1658508
131 794216  17336889  2479513
132 730659  11515860  3272316
133 304551  8470843  1421608
134 76347  4061421  234601
135 486606  9238548  1491407
136 134668  1840209  396802
137 618618  10408454  2020310
138 621105  10687456  1917410
139 541127  9537749  1565808
140 921951  16827387  2773714
141 256185  4023621  1117006
142 459958  8261743  2012210
143 929868  15734781  3709720
144 844082  14059672  3554319
145 379402  5289327  1143106
146 986213  15983983  2991815
147 398094  5504429  1744509
148 124386  1616808  388202
149 869340  16086283  2669714
150 213156  2900815  586303
151 911018  16704686  3454917
152 95983  1414008  265901
153 189898  3048716  753404
154 218891  3139216  865104
155 677065  10843257  2083110
156 526078  9966452  1617208
157 352350  5737130  1613508
158 607715  9930852  2683914
159 182636  2601513  570903
160 852135  15602181  2765614
161 609734  9614550  2352712
162 180931  2664314  511202
163 838853  15207479  2661314
164 163036  2393912  518803
165 201633  2671614  861004
166 457563  8707545  1476008
167 602200  9796150  1849310
168 297559  5668329  1424308
169 98738  1392007  274601
170 720880  11167458  2980215
171 151388  2362013  500902
172 460109  8474844  2253512
173 315489  4590324  994805
174 808877  15470280  2554613
175 806611  15062878  2456112
176 834962  14884176  2549414
177 777370  11039157  3004815
178 998639  16093283  3974121
179 215532  2765514  667204
180 399198  5113526  1175606
181 971745  16588186  3299417
182 145141  2426613  550703
183 197732  2829914  852205
184 974085  16943387  2927815
185 843748  14923278  2464312
186 425289  5480829  1862509
187 640591  9993052  2441613
188 187086  2542513  554203
189 821598  14833576  2454413
190 192023  2619414  559603
191 326478  4960325  1435308
192 681191  10134552  2943215
193 472520  7963141  2032811
194 559586  8244643  2445712
195 795136  14247474  2391112
196 314839  4425123  1354407
197 98898  1380807  332502
198 848993  15400680  2548613
199 916541  16410085  2815514
