in-random             VectorInsertion[ns]             ArrayInsertion[ns]
0 92927  1830410  385302
1 91237  1767709  350202
2 740583  11962762  3170016
3 449384  9555750  1749909
4 82480  1545508  261901
5 829523  16477785  2380312
6 747693  11813861  2245611
7 459775  9139347  1345907
8 662265  10873157  1979610
9 676895  11086657  2040411
10 706681  10746755  2750815
11 900495  15431679  3624719
12 398698  5164827  1168606
13 97125  1339907  318702
14 662221  10213452  1967811
15 977273  16868887  2869915
16 624014  9546149  1865510
17 621477  9895251  1871909
18 418173  6349932  1943010
19 349624  5323928  1555608
20 714248  10607055  3277817
21 641908  9355648  2936315
22 427567  5482629  1949210
23 468021  10014052  2236211
24 736460  10194653  2849515
25 875907  15392479  3546819
26 405759  5261127  1188606
27 139020  2134911  425102
28 601839  9433849  1784709
29 228423  3237317  1067806
30 110827  1557408  551802
31 970235  17118988  3435918
32 524942  8859746  1537808
33 100033  1395807  275501
34 595403  9992552  1811309
35 803246  15368580  2573213
36 819263  14721576  2412313
37 931532  15405779  2759715
38 382522  5213827  1687108
39 127637  1704509  373702
40 949213  16674686  3661019
41 304357  5258027  905605
42 346466  5706530  1028905
43 381068  6040731  1695809
44 604487  9264548  2703314
45 976017  16387985  4094021
46 401790  5221527  1177206
47 273069  4123721  822205
48 63082  844704  197801
49 756197  11491159  2238812
50 97682  1473108  312401
51 786859  11709961  2357212
52 246781  4638224  759804
53 739343  11354759  2208711
54 795317  15330579  3157717
55 837303  15986682  2856115
56 905232  15808682  3081416
57 800491  15132878  3089516
58 494009  8594344  1531908
59 100104  1443908  336802
60 616841  10393953  1823010
61 466025  8901346  1380107
62 326978  5356228  1437707
63 206513  2795715  647103
64 263684  4607624  1178706
65 507502  8700345  2210011
66 923926  15400680  3863920
67 110748  1517708  427002
68 789701  10715455  3474518
69 67795  920705  227701
70 417855  5303928  1278706
71 952256  16333385  4239322
72 540627  8529244  1613108
73 906016  16247784  2685514
74 610998  9028047  2743214
75 502564  8227543  1927010
76 278207  4209421  1179906
77 561426  9286148  2428912
78 95759  1382507  264102
79 141032  2136511  426702
80 964164  16846987  2850515
81 217743  2912915  664703
82 238635  3318417  1064806
83 810224  15014178  2411112
84 957350  15926782  2812915
85 964171  16488685  2861715
86 796076  14683176  2393012
87 288592  4176222  1249606
88 590637  9228548  2570813
89 786874  10611855  3436418
90 894702  15091778  3594919
91 644534  8569444  2821815
92 186722  2631613  552703
93 516683  10297853  2255412
94 477471  7770640  2095911
95 134199  1709309  396502
96 514602  8504444  2267012
97 472031  7897241  2037710
98 986104  15876482  3962921
99 126579  1609408  384002
100 452775  7136837  1987310
101 609473  9133347  2632514
102 370006  5086826  1102406
103 621589  10164753  1835609
104 936078  16255184  2802215
105 599927  9024546  1743909
106 358729  5716130  1578908
107 757968  11007857  3065516
108 271595  4033621  818304
109 588403  9847151  1717809
110 298974  4986726  1312506
111 677479  10310053  2571513
112 899813  15262779  3552918
113 607186  8354344  2338212
114 891473  14743576  3907820
115 492675  7342038  2132111
116 274184  4063721  1185906
117 569931  9237648  2468413
118 372374  4880625  1657709
119 819754  14613575  2531913
120 134186  1648609  412302
121 843400  15586281  3175616
122 428786  6183132  1855610
123 682026  10099852  2962315
124 760112  12562565  3362318
125 202438  2658813  642304
126 746978  11175757  3258817
127 679142  9782751  2199411
128 170683  2833815  601603
129 446682  9063847  1307007
130 725854  11572260  3160516
131 408646  5222927  1819509
132 572515  9359949  2158211
133 477827  7769340  2205112
134 978718  15961182  3974721
135 724228  9330048  3184516
136 819270  14605776  2504713
137 191008  2594613  574103
138 102676  1444208  344102
139 92844  1310106  352802
140 990045  17283089  2921616
141 235075  2963515  696804
142 865078  15488180  2942515
143 855712  15794682  3218416
144 102351  1481908  347702
145 664040  10852956  2000310
146 941096  16137984  2774714
147 484712  8083842  1410007
148 165113  2620714  455002
149 372222  5784030  1617308
150 298213  4691625  1426807
151 732538  10658155  3242717
152 61760  813504  238601
153 77432  1220807  213701
154 893421  15786781  2648114
155 475357  8048842  2107411
156 580408  8484543  2565113
157 748732  10249153  2916515
158 529960  8293643  1985010
159 940104  15303479  3735319
160 238729  2997616  766704
161 916862  15037878  2796214
162 855001  14799777  2487913
163 57537  801104  182901
164 168190  2424012  482903
165 700923  10215653  3076315
166 484362  7999141  1446407
167 943307  16550486  2769014
168 129915  1679509  359602
169 629120  9774250  1897310
170 736932  11340359  2905615
171 805120  15035378  2457412
172 759808  10321154  3307517
173 244157  3095116  719204
174 936982  16416084  3638019
175 721432  10192553  3219717
176 900795  15149578  3557818
177 442729  6855636  1323407
178 920534  17008488  2704014
179 733466  10695155  2909515
180 582581  8891246  1714109
181 173433  2668814  529202
182 754372  11619561  3030215
183 950144  15749982  4220321
184 373376  4938026  1105506
185 586339  8752345  2619914
186 111787  1524807  416503
187 690802  10550454  2829115
188 323193  4471523  947705
189 451819  8766945  1355707
190 142442  2185912  392102
191 213720  3247116  924805
192 431032  6448034  1895009
193 790319  11537960  3093716
194 479342  7849241  2091310
195 233602  3057316  744004
196 292807  4934326  1256606
197 808967  15009478  2437212
198 847469  14593076  2546113
199 558302  8794745  2425613
