#Elementos waste resizes 
163283 81223 19
1010450 415506 41
1651243 915477 64
1768044 798676 87
207870 36636 106
923520 502436 128
1135263 290693 150
1271135 154821 172
36451 5474 188
1970553 596167 211
1222631 203325 233
1380809 45147 255
540047 252151 276
923377 502579 298
809836 616120 320
202778 41728 339
836417 589539 361
534139 258059 382
307203 132907 402
437952 2158 422
1850314 716406 445
1433338 1133382 468
1749695 817025 491
1592103 974617 514
1052804 373152 536
497438 294760 557
1533402 1033318 580
930821 495135 602
761112 31086 623
361784 78326 643
385351 54759 663
69130 6335 680
1238011 187945 702
1134791 291165 724
1989043 577677 747
1803099 763621 770
276947 163163 790
1946 273 801
1821588 745132 824
924529 501427 846
1755360 811360 869
1717627 849093 892
125298 10539 910
959006 466950 932
146695 97811 951
292088 148022 971
1345728 80228 993
1899808 666912 1016
869562 556394 1038
1700065 866655 1061
1643586 923134 1084
1920688 646032 1107
1255850 170106 1129
1144183 281773 1151
642390 149808 1172
1598519 968201 1195
1276907 149049 1217
41375 550 1233
1696044 870676 1256
1226581 199375 1278
1746417 820303 1301
151419 93087 1320
1154590 271366 1342
1968771 597949 1365
1085181 340775 1387
199204 45302 1406
1152701 273255 1428
165042 79464 1447
1333182 92774 1469
1906027 660693 1492
1497924 1068796 1515
1065482 360474 1537
660262 131936 1558
81950 53887 1576
1604736 961984 1599
1954592 612128 1622
1636598 930122 1645
33249 8676 1661
879030 546926 1683
1443518 1123202 1706
1190449 235507 1728
1071714 354242 1750
792035 163 1771
984822 441134 1793
556762 235436 1814
1131494 294462 1836
33064 8861 1852
1072721 353235 1874
912092 513864 1896
639638 152560 1917
435778 4332 1937
1639128 927592 1960
1616606 950114 1983
1062497 363459 2005
584144 208054 2026
1955230 611490 2049
1426796 1139924 2072
1256653 169303 2094
1705282 861438 2117
1112896 313060 2139
