#Elementos waste resizes 
362612 103997 29
1803697 558507 62
1902561 459643 95
356707 109902 124
164666 42716 151
629238 70675 181
649615 50298 211
1287465 287338 243
431589 35020 272
921939 127930 303
1293273 281530 335
1096321 478482 367
807638 242231 398
1274989 299814 430
1509170 65633 462
1576839 785365 495
1964250 397954 528
584131 115782 558
2774 823 575
1948143 414061 608
1614776 747428 641
160011 47371 668
1642745 719459 701
1115644 459159 733
783976 265893 764
1356807 217996 796
279468 31605 824
942508 107361 855
1807530 554674 888
1280582 294221 920
1168785 406018 952
24277 3033 974
666648 33265 1004
50780 10667 1028
318363 148246 1057
1876662 485542 1090
845395 204474 1121
847627 202242 1152
343636 122973 1181
1774551 587653 1214
1233588 341215 1246
1197970 376833 1278
1268872 305931 1310
453101 13508 1339
156221 51161 1366
1531826 42977 1398
302386 8687 1426
1843917 518287 1459
215426 95647 1487
608609 91304 1517
1784326 577878 1550
1688279 673925 1583
1490061 84742 1615
889398 160471 1646
601215 98698 1676
56428 5019 1700
1511568 63235 1732
106229 32026 1758
1136059 438744 1790
1868480 493724 1823
79296 12874 1848
23988 3322 1870
65552 26618 1895
416775 49834 1924
239474 71599 1952
179930 27452 1979
1689175 673029 2012
1394422 180381 2044
844608 205261 2075
1935555 426649 2108
248329 62744 2136
1303517 271286 2168
133606 4649 2194
372990 93619 2223
1370300 204503 2255
693857 6056 2285
963495 86374 2316
487801 212112 2346
1891834 470370 2379
101221 37034 2405
1767124 595080 2438
869935 179934 2469
62801 29369 2494
414102 52507 2523
1486205 88598 2555
457386 9223 2584
107415 30840 2610
1550687 24116 2642
368984 97625 2671
813568 236301 2702
539954 159959 2732
1273142 301661 2764
1456386 118417 2796
1187699 387104 2828
643922 55991 2858
361892 104717 2887
747064 302805 2918
284604 26469 2946
1987492 374712 2979
419845 46764 3008
