in-random             VectorInsertion[ns]             ArrayInsertion[ns]
0 223052  3611219  1205106
1 562432  11116458  2310212
2 374957  6433633  1134706
3 888832  13721671  2644014
4 191698  2926915  897304
5 376245  5985431  1751309
6 797973  12161263  3317117
7 305582  4265923  1407107
8 996690  13905372  4112821
9 724899  10247753  3299017
10 606987  9318548  2802215
11 700673  10223953  2867714
12 323498  4358523  1474208
13 188251  2417712  887305
14 967875  13784171  4473523
15 813133  11284859  2469012
16 551412  10177553  1655309
17 372214  5417128  1641308
18 175966  2367212  792604
19 780329  12090363  2299712
20 338843  5388328  1454107
21 528751  9557550  1552108
22 448858  6139831  1956511
23 687115  10834456  2662013
24 157909  2144411  470303
25 362606  7321238  1634708
26 774547  11646761  3438417
27 815189  11384259  3208617
28 965252  12793966  4108521
29 605907  9009647  2698114
30 711130  10077552  3064716
31 764156  10912456  3024116
32 207459  2656514  599403
33 969963  13270968  4214522
34 654840  10121852  1943011
35 888336  12883066  3483818
36 157833  2150311  501203
37 687087  10721455  2041111
38 211564  2767514  917505
39 413632  6307133  1790109
40 861196  12468864  3742120
41 906923  12602865  4033121
42 738455  10883756  3129816
43 589158  9033047  2579813
44 850141  11299759  3317417
45 940566  12815466  4049521
46 57638  715304  159101
47 403763  5386928  1749709
48 586673  9810350  2184112
49 365273  4755024  1620509
50 367760  5244327  1627108
51 182230  2365112  526803
52 275204  4853725  821905
53 766566  11738660  2243312
54 111234  1384207  337402
55 119182  1651108  518103
56 994505  14073173  4314922
57 57778  696904  159601
58 519611  6254232  2254812
59 559104  9993351  2105411
60 568037  8544644  2613014
61 725011  10203453  3168016
62 816688  11041157  3247817
63 959746  12531365  4179521
64 928879  12275664  3628819
65 296182  4183321  900205
66 473549  6831735  2044911
67 972420  13362269  3978521
68 335862  4535623  996705
69 799323  12062463  2437012
70 501701  7012936  2150012
71 872216  12479064  3470218
72 607203  8948146  2581614
73 266883  3907220  803204
74 887478  13220769  3538618
75 230219  2785414  693804
76 580121  9399748  1681409
77 121918  1483808  336502
78 731627  11370558  2160812
79 784748  11734660  2488613
80 966226  13611371  2838014
81 359203  5755730  1091806
82 115202  1588908  483402
83 612709  10448654  1801110
84 344645  5215927  1013605
85 632054  10325653  1872610
86 702255  10359254  2611213
87 750140  11335559  2276112
88 864911  12511664  2573414
89 180230  2689314  764204
90 99225  1302706  317302
91 167928  2834515  462802
92 450218  6844335  1304607
93 210217  3191117  901604
94 125751  1500008  537703
95 523030  8832746  2289511
96 290249  4475624  876104
97 663673  10783356  1959310
98 936019  13146068  2771714
99 532779  9579950  1596008
100 222636  2721914  962705
101 525682  9251248  1534208
102 422311  5822730  1834210
103 257114  3131416  1169506
104 635347  10531254  1976011
105 162492  2261211  731304
106 295190  4995326  1268407
107 245519  3001215  1100606
108 694093  11061857  2037710
109 408574  5931930  1778009
110 331966  4925626  1380107
111 651217  10122452  2834915
112 422728  5283327  1819410
113 564535  9508349  2430913
114 700742  9899051  3048516
115 653880  9841350  2495413
116 822771  11210658  3526419
117 322878  4416522  1389908
118 975991  13252968  3877720
119 672214  12739866  2918215
120 746320  10505154  3120317
121 867443  11555259  3755820
122 318961  4330022  1397707
123 563504  9738650  2474413
124 388044  4942825  1699509
125 323676  4814425  1445307
126 104823  1292407  289002
127 942328  13454269  3676419
128 893733  12015462  3508519
129 492657  6018331  2130011
130 123440  1475007  366002
131 339614  5321528  1526808
132 875982  12482564  3496218
133 447765  5740330  1935910
134 994404  13666771  4348422
135 491642  5808430  2171611
136 751593  11434259  2993715
137 577240  8840246  2480313
138 263214  3873320  1133706
139 655584  10285053  2839414
140 627035  9532050  2758914
141 945036  12358164  3809020
142 876590  11822261  3525118
143 549053  8660945  1644008
144 691363  10702256  3020315
145 651066  9770851  2505913
146 480656  5839530  2103111
147 287456  4466123  1238907
148 619028  9832250  2758715
149 986456  12846866  4035921
150 972369  13190868  4397023
151 394797  5039226  1766509
152 185121  2444813  898004
153 583696  10147453  1691409
154 386389  5563928  1666708
155 666312  10739256  2592213
156 988784  12820466  4013121
157 125846  1448208  383702
158 689771  10397353  2153912
159 264674  4526023  1162006
160 454727  6205732  1992310
161 302345  4624724  1322607
162 812749  11870362  3492318
163 853216  11504159  3327517
164 261259  3059516  810804
165 844912  12434065  3717119
166 968739  12628665  3860020
167 379605  4903926  1624408
168 130229  1566508  392902
169 647123  10792056  1912810
170 948331  13202568  3778720
171 826741  11086357  3270017
172 261009  3249617  756204
173 695214  10548954  2054211
174 702171  10800356  2073711
175 641105  10419053  1922310
176 837740  12270664  3718019
177 980552  12904967  3925820
178 111744  1338307  353602
179 287803  4207422  908504
180 102629  1474408  386402
181 93248  1392807  257302
182 793430  12455864  2433913
183 965162  13920272  3928320
184 998959  13492970  4245822
185 765546  10805356  2322912
186 476208  7207437  2182111
187 706216  10924157  3079416
188 932152  12437864  3767919
189 578547  9165148  2760514
190 873336  11856261  3562419
191 511268  6089531  2201012
192 149537  2184311  698404
193 127813  1535108  540902
194 534223  10185253  1631108
195 370116  5458028  1095405
196 853829  13089468  2570313
197 325361  5793630  1028706
198 665616  10890956  2053111
199 706561  11050657  2099811
