in-random             VectorInsertion[ns]             ArrayInsertion[ns]
0 807246  13393670  3369617
1 901997  13391469  4084721
2 976067  14220874  3424418
3 58278  845104  161001
4 918697  15712081  3631619
5 429814  7112137  1296707
6 217410  3565218  1101806
7 900351  13332269  3691919
8 120250  1441107  358802
9 675263  10240253  1998511
10 251584  3238416  1220707
11 93386  1190906  452902
12 261475  4683724  1190707
13 804086  12252863  2384212
14 958940  13779572  3898420
15 166272  2240611  529603
16 415172  5727530  1824509
17 522930  6916736  2331612
18 278499  4391923  1212206
19 711373  10802356  3111216
20 248408  2966015  753604
21 293861  4502123  1313407
22 53466  653004  194701
23 758361  11572260  2324312
24 329494  5215827  1418907
25 209806  2645014  578603
26 154769  2566213  663403
27 713829  11339059  2165611
28 877451  12910467  3419018
29 968709  12706765  4161122
30 417022  5261827  1776809
31 714813  11380859  2781915
32 755837  10564554  3282217
33 408505  5144727  1750309
34 913711  12895467  3612918
35 406608  5203627  1797409
36 466332  6260632  2009910
37 135344  2012511  594203
38 64095  718303  217301
39 554068  9972251  1618309
40 589276  9790650  1771609
41 796951  12083863  2428212
42 954671  13671171  3803620
43 63003  721004  216001
44 728558  10280153  2170211
45 356384  5493829  1062805
46 473147  6915536  2045610
47 824583  11462960  3595218
48 225020  2703914  672204
49 56607  708803  156101
50 272006  4591124  776104
51 918942  13558770  2970716
52 885050  14373574  2670514
53 670738  11484959  1974910
54 691501  11274059  2036110
55 454404  6193532  1938810
56 158495  2150311  712704
57 591317  10449554  1795709
58 140922  2327113  868004
59 452752  7153937  1969910
60 258034  3028716  1141906
61 619700  10809856  1845909
62 700007  11297459  2134311
63 205721  2803514  877705
64 850798  12758566  3372317
65 647442  9560950  1975810
66 298899  4820125  1271106
67 142697  2049910  638703
68 613775  10300354  1860609
69 703753  10858656  2120511
70 688550  10850257  2039010
71 699472  11144658  2076711
72 182511  2505213  780404
73 815989  12248263  2462613
74 964906  13745071  3821219
75 928466  12334263  3674719
76 775234  10634955  2320412
77 70895  1029606  215901
78 316948  5323227  943305
79 641693  10594455  1878610
80 470614  6427633  2039211
81 341747  4996725  1021206
82 339329  5519828  998305
83 56439  661804  187401
84 516243  7385438  2213511
85 363549  5196727  1072206
86 209803  3109616  902005
87 267208  4920725  1168306
88 631438  9882851  2757115
89 147053  2058710  457603
90 354593  4978025  1596309
91 819274  11805261  4044421
92 448646  6324732  1966410
93 585067  9980652  2214312
94 60138  699403  250501
95 143275  2031011  424202
96 497836  6731535  2201111
97 817715  11816262  3548618
98 818205  11091357  3280717
99 766411  10485854  3312718
100 225767  2816914  685804
101 668663  10594055  2020910
102 921177  13052567  3611719
103 276073  3974121  1207106
104 86634  1154606  264301
105 604243  10143553  1804809
106 587046  9485649  1788409
107 810364  11878962  2398412
108 542109  9621950  1597508
109 196764  2495913  605303
110 630276  10637255  3327618
111 139189  2011010  382902
112 284899  5120727  854504
113 613966  10791456  1847909
114 671019  10820456  2129911
115 559707  10058052  1698109
116 597400  9904551  1777110
117 468634  6448533  2039011
118 109121  1338007  304701
119 149564  2335112  430902
120 92030  1298707  305202
121 907093  13305969  2948015
122 755655  11809261  2237411
123 742532  11415260  2289411
124 501084  7050537  2224711
125 729264  10940857  3208917
126 997190  12967067  4063121
127 273893  4035120  819904
128 490502  7063536  2115011
129 275121  4340523  788404
130 473368  6715034  2051310
131 481182  6425133  2102111
132 53209  635904  204301
133 97492  1317406  268802
134 369710  5841530  1166706
135 468552  6844535  2032711
136 279879  4405323  846804
137 636779  10495254  1880210
138 657200  10865756  1915310
139 734484  11465060  2214011
140 567675  10046452  1690109
141 83162  1150106  264801
142 122572  1503908  469802
143 86678  1282207  386602
144 654823  10982057  1947510
145 445037  6297932  1962211
146 977548  13505369  4021521
147 559300  8960547  2431712
148 148984  2187212  517802
149 860116  12309264  3441618
150 132499  2008910  426002
151 545432  9160248  1629408
152 777732  11428659  2320012
153 956857  13651471  3826620
154 514998  6088731  2226812
155 179300  2402712  766904
156 582800  9846251  1739409
157 103719  1269707  333501
158 411552  6125332  1766909
159 131312  1927810  577503
160 523716  7207937  2297912
161 528470  8952047  1573208
162 594408  9571949  2565813
163 798034  10859356  3478218
164 429764  5424528  1890509
165 300277  4565023  1403007
166 911237  12812267  3647519
167 68749  1027005  230801
168 778443  11220158  2309912
169 85215  1128106  384802
170 795457  12209163  2317112
171 286401  4869025  927905
172 503400  7262338  2207711
173 69366  1000705  230901
174 933415  13336769  3769420
175 425673  5702829  2012411
176 557238  9381148  1687209
177 298374  4618924  1335107
178 548706  9280448  1652308
179 677931  10572755  2985116
180 654940  9742950  2948915
181 979722  12683466  3915120
182 663681  9971552  2573913
183 682901  9730550  3064716
184 282037  4039821  1217706
185 501754  6609335  2230611
186 867088  12193563  3816620
187 918331  12191763  4125921
188 521004  6851736  2278012
189 864174  13491169  3385318
190 368138  4846125  1610108
191 849832  12100863  3316817
192 208973  2630514  575103
193 914971  12595665  2692614
194 985915  13629870  4768225
195 801208  11139357  2457113
196 628351  10858056  1853310
197 212793  2786914  991606
198 149730  2271611  669004
199 311543  5121726  1369207
