in-random             VectorInsertion[ns]             ArrayInsertion[ns]
0 982776  15239478  3979721
1 723709  13094568  2884315
2 114491  1761509  343502
3 489380  7600639  1444007
4 57832  877905  253001
5 135764  2570414  389302
6 999808  14868576  3009416
7 938399  13809271  2824915
8 549373  10521355  1651408
9 743466  11376959  2232912
10 835745  12489764  2455513
11 267357  4784725  824504
12 954026  13915272  3875720
13 272404  4018321  815204
14 960848  13734971  4338122
15 672710  10249853  2178112
16 316446  5054526  1441307
17 626810  10603855  2472513
18 80999  1109706  224001
19 233449  2834115  694303
20 83444  1121306  230001
21 406554  6208532  1773909
22 957076  13318669  4149122
23 246557  2915315  751604
24 628476  10391153  1857310
25 439019  6135832  2091311
26 780286  12085862  3097116
27 191048  2410413  592003
28 859664  12146363  3364517
29 850459  11448459  3666119
30 341753  4551324  1500807
31 222571  2689914  972705
32 925181  14132274  3692219
33 77673  1068905  215101
34 849137  11626060  2491413
35 164437  2531713  743304
36 871918  12642066  3492718
37 180106  2380412  574503
38 234954  2813815  900104
39 812473  12345864  2418313
40 537478  9483049  1568308
41 673155  10474854  1992710
42 490169  6708135  2173011
43 62481  711504  198401
44 666105  10684155  1971010
45 296797  4887626  1296106
46 119344  1476008  376602
47 834731  12329964  3650219
48 444896  5648929  1936610
49 393741  5672329  1698009
50 374280  5389028  1604508
51 193556  2517613  558503
52 367841  5862030  1084906
53 255716  3570419  1106705
54 985137  13912372  3946021
55 814179  11037657  2537013
56 257315  3403517  1152506
57 798146  11982962  2341913
58 794470  12158462  2381713
59 131622  2080010  590904
60 455966  6529833  1996411
61 845527  12083662  3349517
62 703212  9912951  3050516
63 324506  4456723  1394607
64 368918  5339227  1558809
65 318665  4780024  1379007
66 143316  2062211  619003
67 818530  12148263  2577613
68 784679  11938362  2289312
69 109615  1366907  483903
70 505457  7225037  2200111
71 683775  10748956  2989215
72 131343  1933810  380402
73 283783  4296423  1294806
74 252016  2965316  1092005
75 891743  12965867  3684819
76 554065  8823046  1684909
77 714989  10976957  2104210
78 657969  10799456  1979311
79 688378  11376658  2098711
80 57669  819605  209501
81 672244  10843056  1985310
82 327936  5183827  1457207
83 332898  5196527  1485908
84 389211  5599829  1762809
85 971515  13562970  3885720
86 880604  11726061  3506318
87 831021  11161758  3658719
88 664139  9880851  2976015
89 605620  10051752  2289612
90 286540  4055221  1254107
91 747709  11090357  3278117
92 850663  11398959  3326917
93 604488  8953746  2653614
94 652343  9512949  2824515
95 106274  1337307  315701
96 78024  1066206  220601
97 441848  6046831  1951710
98 395115  5605829  1693409
99 961333  13006468  3848219
100 946715  12456864  3794920
101 342923  4585623  1010906
102 226753  3254016  982306
103 606674  10055052  1845209
104 999825  13734571  4190322
105 782699  11238358  2429713
106 738202  11430459  2184611
107 364720  5613729  1604908
108 707204  10684456  3145616
109 328509  4501823  1448508
110 759478  11293958  3311917
111 361667  4723325  1638308
112 628347  10772756  2498013
113 62582  759104  173801
114 827510  12065462  3587919
115 467999  5742829  2034311
116 796745  12021962  3190117
117 279279  4461123  1234906
118 110119  1371307  324502
119 162795  2424712  513703
120 915470  13552970  2763814
121 131196  2320812  566203
122 957983  14000173  3869820
123 549626  9100547  1807409
124 382327  5840831  1870409
125 497613  6950436  2321912
126 854174  12960867  3996421
127 992597  12902967  3992920
128 703881  10168753  3687119
129 176509  2576913  552903
130 800279  11784361  2395412
131 123693  1443608  605703
132 487351  6972536  2093311
133 445056  6050231  2045611
134 827764  12100862  3287917
135 63116  742104  239102
136 810170  11296158  3551118
137 912613  13198369  3615318
138 165576  2250312  505003
139 907279  12318163  3678819
140 969795  12782467  4884525
141 735360  10549454  2179912
142 183924  2573313  561603
143 319270  5419528  945705
144 984288  18266094  3973121
145 264789  3965420  795305
146 633581  10736955  1843610
147 981387  14080473  3905620
148 377409  4936025  1756209
149 750587  11655761  2931615
150 671052  9546349  3329617
151 724158  10068752  3124916
152 320100  4363022  1427608
153 818070  11996362  3243517
154 589781  8935846  2696814
155 441810  5454228  1921210
156 210509  2625313  915705
157 747053  11454659  2191312
158 129453  1547208  523603
159 427354  6503433  1839410
160 120209  1433107  334602
161 645199  10669455  1910610
162 372291  5480028  1639309
163 131722  1934010  362802
164 212334  3137616  920505
165 948407  13163268  3946620
166 133351  1937010  402702
167 781857  12800066  2389713
168 532851  11443159  1617308
169 375579  5616529  1742410
170 57827  862304  212001
171 981547  15401280  4795325
172 943300  14022272  4640324
173 998273  15285279  4349523
174 464637  6069731  2123811
175 112250  1856610  1031805
176 210306  3382518  611703
177 301797  5302427  882505
178 922690  13839571  3915620
179 392936  5425728  1798009
180 846980  13323569  4028121
181 621516  11362659  4210321
182 339499  5081327  1479807
183 115118  1382608  383102
184 270280  5765429  1165206
185 72061  1036506  199501
186 673183  10426854  2066410
187 340394  5208526  1462108
188 343354  5016626  1536608
189 831430  11849061  3285217
190 649098  9475449  2814315
191 594632  8925546  2586213
192 529679  8419744  1590408
193 694663  10543455  3005915
194 442411  5472628  1910910
195 839817  12092663  4622624
196 580220  8851746  2539213
197 470112  5723129  2051511
198 373508  5321128  1579008
199 737540  11010457  3266917
