Experimento 2
n-random	VectorInsertion[ns]	ArrayInsertion[ns]
50416	659603	173101
51824	605703	206101
52430	672903	211301
53247	642804	202601
55214	670003	177701
57918	687203	166401
58515	682403	185601
58895	1535207	200601
59127	775704	203801
61568	729304	190901
61825	752104	205301
62016	848505	305601
63098	797004	209901
64186	755804	221501
66807	975405	211901
67972	990605	187701
68145	982805	210802
69017	993805	219401
69909	1018606	211601
70474	1174906	316001
72814	1028805	201401
72958	1055106	201601
74834	1041705	206501
75202	1194006	238001
76503	1070106	242701
77338	1134405	213501
80143	1111705	221002
80910	1107506	270501
81362	1092005	224102
82156	1112906	337502
82762	1293406	229201
84631	1144006	319401
85225	1150206	274402
85482	1331207	236501
86085	1251206	414202
86578	1258107	256501
88081	1148306	244001
90653	1191306	266402
92249	1211406	294902
94027	1228906	259601
94334	1225206	279001
95318	1278507	474402
96585	1221406	333402
97777	1512008	431302
98701	1257107	323001
100488	1281506	483003
100666	1284807	304702
101233	1409707	279501
102331	1286706	445802
104108	1329206	286902
104334	1306706	293102
105076	1417807	359002
105804	1293207	293701
106186	1332107	293201
106975	1331406	327002
110524	1341107	306102
110597	1499508	495803
111028	1527308	475802
112168	1381307	359602
112483	1378907	321602
112595	1407007	351402
112735	1370907	360002
114796	1455308	316301
115467	1424807	373002
115934	1386307	326502
116717	1374007	578603
117673	1446008	362501
118320	1450407	347002
118613	1511407	327302
118735	1431608	360401
119016	1456608	328201
119589	1462207	401002
120367	1457907	344502
121885	1441808	336501
122989	1660208	358602
123190	1525408	495602
123368	1456308	355602
123528	1443607	384301
123668	1497008	499803
124867	1494208	358801
125359	1510808	492102
128062	1503208	564203
129007	1846710	686103
130748	1514608	384902
130953	1553608	539503
130984	1517608	424902
133224	2068310	610603
133363	1974510	389502
133900	1950109	376302
133928	1968210	571003
134016	2191611	565903
137011	2002511	424902
137283	2497013	580703
138240	2170911	407402
138718	2113511	420502
138943	2230711	454002
138947	2024510	382702
139797	2130311	427302
139924	2012611	385202
140020	2246011	583303
145864	2201611	465402
145974	2436712	631604
146223	2067511	456902
146466	2070511	444302
146852	2237512	534602
147102	2246411	657204
148870	2092111	421602
149412	2091211	460202
150105	2085311	596303
150906	2304912	655104
152145	2107211	419702
152657	2558913	556503
152664	3748919	490502
152780	2111011	682103
152822	2109310	486003
153844	2158311	520502
154070	2494912	442803
154128	2125011	488703
154429	2119910	714904
155405	2151011	472003
156993	2135410	521103
158629	2621313	672204
159917	2294912	441702
160554	2190911	464903
162661	2213712	447602
163281	2192911	491903
163312	2212711	490003
163386	2615813	521103
163895	2245112	495302
164090	2467313	517002
164666	2215611	481202
165751	2229111	491203
165757	2271911	492903
165845	2212311	742404
165886	2261312	477702
166108	2433513	496002
166770	2299612	734304
167097	2261811	696904
167270	2670214	750203
168034	2356112	883305
169121	2287011	708604
169670	2265711	469803
169688	2258712	754604
169953	2381113	481202
171250	2268312	524902
173235	2710414	771104
173366	2417413	736604
173848	2762514	783304
174921	2295112	771504
175041	2278811	563403
175120	2324612	749804
175283	2297412	511302
177649	2356212	791004
178004	2369812	612503
178831	2539713	3023715
180470	2404712	774804
180504	2651914	797104
181514	2338212	797504
183414	2414112	529003
183642	2990616	564603
186819	2789114	818404
187161	2853415	841904
189790	2397312	1401507
190602	2411413	572303
191129	2762414	853804
192561	2499313	530403
193108	2440713	610603
193697	2466512	731204
195749	2515513	886904
196082	2521713	543403
196635	2541913	541203
197423	2484713	588703
197528	2768215	859104
198631	2555913	578003
201081	3079915	860305
202116	2600613	587003
203078	2772514	921705
204191	2568813	579503
207821	2638014	592503
208002	2608013	637904
208235	2880615	956805
210531	2757014	656204
210606	2667414	673403
212821	2842914	644803
213221	2736514	933405
214726	2772014	769704
215587	2978916	954204
216195	2802814	996205
217967	2770314	941304
219257	2737814	960405
219365	3639419	661203
219522	3213516	949105
220440	2689314	953604
220541	2675114	683404
220917	2903315	975705
221993	3000516	940804
222538	2751914	677004
223676	3235117	962505
223808	3041915	970605
224397	3040615	976605
224477	3041216	617603
224605	2722914	973605
224840	2843114	971105
225549	2752814	662103
228491	3269217	992605
228695	3257617	1030205
230671	2794015	1024805
230675	3314517	1079106
230933	3355117	1051805
231098	3421817	1027705
231378	3106416	997605
231462	2800714	1021305
233482	3332717	1022805
233936	2956215	742104
234404	3070715	1240007
235108	3012415	1009505
235222	2861814	719204
235240	3139016	1018405
235358	2805414	684604
235471	3131816	1004605
235685	2830914	670204
236211	2978316	1015205
238361	2857315	655903
239775	3436217	1037205
239929	2839615	1031705
241396	3052116	1028505
241563	2895815	938405
