in-random             VectorInsertion[ns]             ArrayInsertion[ns]
0 817575  16142684  4019120
1 226853  3537019  657903
2 285512  5127427  853304
3 182984  3074216  841704
4 853823  16215284  2576414
5 907571  15484580  2707014
6 746102  10947856  3355518
7 861032  14810976  3843620
8 571239  8029042  1717309
9 710817  11185557  2812215
10 923783  15707581  3658219
11 626316  8497444  1846310
12 601040  10140752  3147216
13 209393  3663419  949205
14 209676  3046316  912105
15 639976  10295253  1887910
16 466514  8664845  1490507
17 542588  9514250  1634708
18 939353  16434185  2774914
19 674233  9634750  1984610
20 997083  16843687  2935316
21 358625  4968625  1582109
22 63967  852004  205001
23 550390  9113047  3493918
24 261179  4033621  1131706
25 897473  15652381  2619014
26 706642  9932451  3070016
27 510925  8168642  2244512
28 933477  15131078  4105821
29 248277  3901920  752004
30 899449  15382680  2667314
31 782548  11044957  3072916
32 427980  5350327  1890510
33 650272  9949352  2848914
34 820464  14351775  2436712
35 421598  5313328  1851609
36 985598  16238984  3074316
37 620291  9400349  2700114
38 332126  4622424  1425707
39 801426  14962077  2409813
40 545701  8491644  2426512
41 372718  4990226  1626508
42 747957  11142257  3075516
43 860825  15318179  3403918
44 139431  2135111  495802
45 190981  2541714  592403
46 512856  8009541  1499608
47 295531  4998526  1331807
48 170133  2367512  527203
49 427697  6469333  1905410
50 945343  16101683  2795815
51 964642  16207083  2893015
52 434222  5700130  1880410
53 321117  4966925  1419108
54 916782  15876582  2699714
55 92908  1323807  257401
56 318851  4553924  1394807
57 565011  9034846  2503613
58 390584  5104227  1905810
59 499935  8869046  2197711
60 50595  711304  161600
61 73752  931705  243902
62 471843  8443943  2042711
63 738477  10160452  3296817
64 86170  1244007  237901
65 630420  9961152  2799914
66 773975  10774656  3061216
67 992737  16060283  4127121
68 680762  9880051  2831815
69 967136  17074488  3851020
70 918013  14504075  3660619
71 190518  2703414  545103
72 256798  3999320  779305
73 649639  9646449  2952516
74 186163  2599813  622903
75 342196  5271828  1570008
76 935846  16730786  3106216
77 306112  4780025  1355807
78 326023  4928926  1416907
79 154152  2318812  694004
80 715868  11088557  2814614
81 198571  2662914  573803
82 368821  5776830  1593908
83 950389  16126184  2785014
84 822960  14416275  2399212
85 53897  776804  174401
86 979635  16040583  2912715
87 708207  10337254  2709014
88 865604  15522880  3451218
89 610352  8509344  2611813
90 60399  833205  192901
91 409737  5409328  1786809
92 69350  886004  219802
93 294777  4945725  1303007
94 898896  15603881  2679313
95 376153  4991526  1664109
96 997655  16719386  2933215
97 702201  10460455  2742814
98 626487  9441649  2453312
99 857699  14667976  3427418
100 780897  9867051  3158216
101 72106  905305  248901
102 162010  2306012  528603
103 774721  11031457  3336317
104 804855  14445675  2400912
105 529301  8593745  2306612
106 423128  5349627  1289607
107 885311  16557986  3401617
108 411065  5896331  1649908
109 455747  8118542  2006411
110 79999  1214606  1404907
111 541997  9052747  2324512
112 837638  14536275  3311317
113 65814  868504  182201
114 985355  14921077  3962021
115 559809  7859440  2438513
116 882325  15173978  3586119
117 279287  4161921  839105
118 747057  11211558  3288417
119 946680  15569080  3791320
120 563038  7882741  1641508
121 256820  4567924  1109706
122 783483  11146557  3437618
123 369807  4853425  1591408
124 235941  2993116  1025405
125 212391  3101316  927105
126 435543  6417733  1882510
127 836730  14927277  2473713
128 753615  10720555  2935316
129 595821  9230947  2293312
130 741477  10406454  3260517
131 659746  9315148  2877615
132 277587  4085321  1200206
133 910507  16159384  2672714
134 718799  10033852  3163416
135 567712  8831946  2540213
136 889947  15146378  3991021
137 944029  14923377  3815320
138 276043  4081921  794104
139 752707  10160452  3308317
140 721930  10032551  3153717
141 342262  4680524  1472908
142 461793  8122142  2028510
143 549859  8748645  2467613
144 972618  15524480  3899121
145 453614  7412138  2077411
146 831887  14848776  3287717
147 693206  9077947  2631414
148 575195  8811846  2523013
149 136920  2112311  377202
150 370908  5427328  1093705
151 630599  10471254  1871210
152 838562  15147978  2517113
153 760216  10392754  3402118
154 876984  14707676  3456218
155 835325  13579070  3626519
156 363198  4866925  1066506
157 390410  5040126  1723108
158 537481  8943646  2306912
159 228187  2924715  676303
160 343235  5399628  1487708
161 695564  10306753  3008216
162 986289  15885882  4014121
163 153471  2246311  459403
164 471528  7302538  2059710
165 901013  15173279  3933920
166 370492  5011126  1089406
167 517752  8055441  1623109
168 938835  16718786  2802915
169 576257  8681544  1755910
170 906572  16027282  2704314
171 535914  8619845  1597208
172 502670  8992947  1462907
173 176876  2725214  487203
174 886034  15887182  2637814
175 893376  15736481  2647814
176 624773  9107247  1919010
177 329816  5362028  1431407
178 58095  804704  160501
179 983261  16822587  2948315
180 312746  4465623  1423008
181 941434  16013783  2760814
182 804744  14827577  2465512
183 470947  7537839  2079711
184 869965  15481380  3745420
185 284682  4387322  848905
186 912193  15107578  2740814
187 756619  11013057  2967415
188 426786  5366828  1884810
189 879654  17866892  2621314
190 586105  9047847  2546213
191 441638  8652645  1954610
192 609423  9133147  2638014
193 794538  16203583  2413213
194 273116  4038121  2476913
195 194979  2740214  645503
196 914199  17436090  2730814
197 341693  6064531  1521608
198 794723  15326679  2402712
199 224170  3324118  673103
