in-random             VectorInsertion[ns]             ArrayInsertion[ns]
0 66249  1374607  318001
1 409178  7090136  1934210
2 120062  2089111  362002
3 935188  17971093  3521718
4 356773  5493829  1072405
5 61873  841404  274902
6 746782  12440464  2233112
7 463342  9134547  1386307
8 112707  1535808  310802
9 902439  17211689  2671214
10 591568  9104747  1783309
11 746586  11307158  3391018
12 610941  9065747  1792909
13 599345  10114453  1757309
14 704355  11182557  2806214
15 299814  4304922  1310007
16 728337  11041157  3204917
17 847651  14734976  3376717
18 99646  1407508  275001
19 501503  7660040  2185311
20 853750  14867077  3442318
21 767945  9906251  3414518
22 400469  5245427  1178806
23 71637  929805  211601
24 416805  6320533  1790509
25 352181  5417428  1507308
26 930258  16110383  2764814
27 562915  8873246  2483813
28 492226  7928441  2164411
29 846455  14727676  3308717
30 191034  2572713  596103
31 426123  5322127  1376808
32 394459  5597929  1732408
33 246214  4211622  743604
34 347961  5695030  1532008
35 826814  14964077  2479713
36 958083  15765081  2936815
37 596755  9353349  2291112
38 607189  9142647  2675914
39 337966  4585124  1573608
40 647017  10906256  2925015
41 269651  4199522  1254006
42 391260  5917631  1728209
43 418652  6050231  1881510
44 692314  11189558  2723414
45 145444  2288612  425402
46 544788  9574350  2352312
47 586782  9261348  2573713
48 927751  16033683  3756819
49 987131  15977683  4363623
50 902255  15186778  3697219
51 759490  10521055  3152316
52 295074  4624324  1368407
53 554028  9547449  2469813
54 509055  8478844  2443813
55 799392  14569475  2671414
56 205629  2908315  858104
57 907861  17147689  2849515
58 170147  2679014  540103
59 220253  3022315  888405
60 860766  16160783  2620314
61 106474  1503308  346801
62 917188  16475585  3156116
63 528042  9314548  1593808
64 824289  15717482  2399212
65 573315  9030947  1726009
66 126168  1670608  356002
67 312262  5788430  1059206
68 364681  6123731  1108506
69 967026  18514896  3709519
70 503029  8854746  1691309
71 982713  17479490  3095516
72 115480  1643109  403302
73 262805  4385622  857405
74 501085  9046647  1482407
75 647746  11115758  2004210
76 118698  1590408  361602
77 941653  17385490  3257217
78 253981  4498723  729504
79 366649  5897431  1084705
80 941577  16526286  3209216
81 372672  5776230  1095706
82 225208  3416118  976605
83 52438  769004  166500
84 97917  1434008  320802
85 335977  5559228  1020706
86 658623  10875656  1934510
87 732740  10918656  3302917
88 489964  7629040  1476508
89 369970  6010231  1641108
90 366315  5354728  1548408
91 143096  2200711  420302
92 426548  6467834  1892510
93 587692  9189047  2572513
94 408945  5198726  1784310
95 432121  5996231  1909610
96 502313  8506244  2218911
97 102493  1377207  358302
98 956584  16430985  2867615
99 711830  10055452  3085716
100 89117  1287606  279902
101 142127  2180611  391502
102 228087  2929115  994005
103 52027  767203  159001
104 897414  16042783  2663714
105 737191  10552255  2966715
106 145561  2175411  465403
107 482841  8426943  2109511
108 179224  2609814  524502
109 709151  10697656  2781414
110 672459  9786851  2568313
111 305365  4381323  1279006
112 943366  16334885  2830614
113 268204  4071721  1179707
114 99262  1388607  275401
115 435822  6625034  1994511
116 856104  15394579  2565114
117 827538  15101878  2411712
118 377681  4988926  1860410
119 389342  6037331  1857310
120 497980  8740645  2211711
121 110896  1538908  358402
122 102209  1423807  323102
123 244842  4634824  766104
124 275164  4881425  1220307
125 444197  8568744  1951410
126 882521  15591181  3749219
127 464287  7243737  2124710
128 320367  4520723  1394207
129 266845  4377123  1198706
130 672033  10553155  2905415
131 296929  4444623  1430207
132 840663  15769381  2470812
133 424931  5439428  1844810
134 320991  5026226  1501508
135 666134  10286053  3006015
136 263526  4135921  1211106
137 706666  11113158  3267017
138 412318  5539128  1939010
139 187153  2735214  559203
140 304998  5326828  914905
141 214733  3358617  923605
142 643094  10485054  2053611
143 461404  9045946  1433708
144 583053  10149252  1859610
145 218618  3188117  669803
146 953671  16406485  2881115
147 866431  15118778  2541313
148 869090  15099578  2552013
149 469207  7917141  1419508
150 497963  12162763  1486407
151 773431  12468865  3141416
152 495803  8449044  1673008
153 435682  6797636  2081510
154 818810  15726682  2444712
155 479210  8110842  2174812
156 696447  9984751  3063916
157 817024  14699876  2491013
158 859381  15328879  3996521
159 88671  1402707  339602
160 89843  1476508  324501
161 449347  7434339  1957910
162 156921  2503213  498502
163 294172  4832125  854905
164 762647  11648160  3426918
165 674030  9954251  2090911
166 723042  11210358  3183617
167 483048  8676344  1553208
168 250407  4637823  1080306
169 559078  9318948  2534313
170 387070  5181827  1758509
171 89790  1279907  252201
172 754868  15495480  3363518
173 395771  5594929  1935110
174 373398  5807730  1685709
175 785260  11836961  3645019
176 735487  10715755  3423618
177 814750  14852277  2474012
178 786947  11581860  3086816
179 753276  11556160  3067416
180 821054  14766976  2497413
181 774369  10416154  3387618
182 316256  4395122  1423408
183 700763  10647955  2718714
184 290912  4166721  1238407
185 260209  4391423  1212606
186 766437  10874856  3289517
187 333806  4576124  1465407
188 690278  10662655  2752415
189 809698  14835476  2516713
190 674224  9560950  3053416
191 662720  9620849  2608014
192 642679  9704950  2502013
193 151878  2297512  469302
194 68740  891604  256201
195 447528  8388544  2010610
196 886397  15895382  3651119
197 379079  5086027  1206106
198 850093  15116478  3407718
199 420219  6722634  1887710
