in-random             VectorInsertion[ns]             ArrayInsertion[ns]
0 182560  3196816  769204
1 910215  18725197  3597519
2 525110  9792150  2348113
3 742854  11194457  2921416
4 105837  2280511  839005
5 93777  1523108  259001
6 427193  7075337  1392707
7 872207  17959793  7840240
8 496763  9441149  1545808
9 520912  9627950  1601608
10 950639  21648112  4458823
11 713318  10579755  3221917
12 518634  8775345  2342612
13 430492  6751235  1894110
14 996770  16901487  2991716
15 352573  6138332  1700808
16 300951  4741825  961805
17 816925  17681591  2934716
18 883126  18436395  6719235
19 756779  11743060  2274812
20 425962  6370333  1894110
21 710975  14662476  4167821
22 751019  10806756  5077027
23 352441  5090626  1525408
24 183122  2669214  847304
25 62030  920305  204901
26 380197  6728535  1123005
27 205318  3184817  897305
28 382006  7203437  1761809
29 690459  10505254  3197217
30 751545  10633055  4143121
31 385414  5373328  1713309
32 654920  11218458  2836715
33 148257  2231311  509503
34 917611  17907493  2847214
35 988580  21052009  3069416
36 100458  1469108  278101
37 330887  5003226  1499208
38 416041  5968131  4907625
39 296712  6478034  938004
40 793247  17243789  2494513
41 519524  8383143  1579708
42 635730  10877156  3008416
43 308474  5483028  1311207
44 816053  15092678  2449213
45 282181  4101321  2365412
46 396063  5923731  1745909
47 531688  10331953  2482912
48 343387  4966426  1596708
49 156482  2398513  543703
50 464355  10607054  1375108
51 105933  1621708  292602
52 197806  3028615  1628109
53 628883  14087372  1888109
54 899051  19956903  2746815
55 109284  1533808  337701
56 856144  17509991  4547223
57 890802  17529690  3320417
58 376718  5831631  1229906
59 307750  5218527  907705
60 233948  3293317  921604
61 503460  8847446  1457208
62 619329  10111352  1918810
63 185638  2805114  818305
64 868884  15414779  2587014
65 845926  15396079  2553114
66 248948  3883720  1077305
67 302566  4690325  1332007
68 505785  9567549  2261712
69 78976  1206006  239501
70 73728  926705  228501
71 384753  5553629  1162606
72 579177  11128758  1742709
73 227331  3207316  702304
74 621666  10082852  1860210
75 931173  16481485  2819314
76 747858  10551655  2901515
77 797151  14313674  2331112
78 872616  14967577  3472818
79 426138  5378928  1243707
80 184333  2549913  511403
81 617669  10063752  1829609
82 640904  10332353  1865610
83 815081  15145278  2456413
84 291159  4438523  1403507
85 696475  11230358  3011916
86 451976  8067642  1971010
87 574942  8905446  2492013
88 465597  7609939  2020811
89 844251  14649176  3675119
90 762253  9620049  2982116
91 829965  15068778  3720219
92 742049  9455149  2892615
93 679277  9810050  2976516
94 709129  9831251  3103016
95 414850  5899330  1965911
96 321857  4938425  1394807
97 724399  10595555  3139416
98 453507  7686340  1973510
99 350173  4676725  1538007
100 647145  9912551  2816914
101 635866  9377249  2427512
102 358939  4730625  1610308
103 422022  5960031  1850710
104 204261  2660113  894805
105 521231  9146147  1548208
106 99582  1356807  340502
107 665460  11087857  1967411
108 185071  2753414  547203
109 245016  4659524  695503
110 717421  10813856  3196417
111 580648  8738445  1810209
112 602123  9981352  1800109
113 657962  10316754  1953410
114 132013  1710109  366502
115 632618  10375053  1837710
116 115365  1545308  494002
117 755729  11417059  2208712
118 960119  17309789  3657119
119 530615  8799146  1581708
120 885725  15701581  2642514
121 293840  4351522  1346107
122 682005  10159253  3014515
123 501117  8008142  2250212
124 539818  8409943  2407512
125 217560  2771115  641203
126 545612  9104847  4555924
127 335640  4691124  1004005
128 421956  6510234  1875710
129 733402  11885061  2933115
130 110854  1465408  356102
131 190445  2678714  876804
132 796172  15418480  2432412
133 803889  14324674  2420912
134 936145  15365580  2816814
135 913082  15167279  2794514
136 68614  906605  202001
137 911241  15536580  2698614
138 579738  9058047  1761009
139 765391  11278458  3469118
140 181472  2476713  565503
141 90258  1278807  271301
142 60081  806204  235501
143 637553  10391553  1884310
144 977236  17034088  2883315
145 195602  2590913  605004
146 759444  11165657  2221112
147 183319  3061516  812404
148 370815  5761830  1650408
149 362003  5342828  1600008
150 343424  5129527  1477407
151 731742  12973567  2913515
152 458747  7624539  1997010
153 811794  14509875  2441513
154 992536  15752181  3963421
155 282949  4123821  820104
156 449357  7568739  1962210
157 328084  4456423  1462607
158 273384  4367323  1186806
159 183167  2539513  791604
160 142830  2363413  626803
161 941660  17606291  2824215
162 187888  2583313  534803
163 278800  4667924  1199906
164 514063  8821346  2254111
165 204559  2719514  586103
166 908928  16043283  2688814
167 643092  9703151  1903609
168 248057  4456523  1077706
169 447193  8101842  1932410
170 206065  2719814  691104
171 991270  16215583  2952816
172 823200  14542875  2440212
173 186599  2563413  561903
174 298363  4468923  1331607
175 991660  17213189  2939915
176 241340  3021516  735103
177 754063  11688361  3107916
178 488950  7969141  1452408
179 870923  15835782  2544413
180 572658  8864746  1718108
181 143156  2391213  427202
182 50930  774204  220401
183 104720  1436608  331301
184 53221  722704  217301
185 622711  10528955  1866209
186 428718  6322333  1895510
187 753874  10977757  3312717
188 80922  1247306  223801
189 70483  901205  195201
190 446023  8232143  1929010
191 886671  14979777  3556318
192 295066  4364723  901605
193 239925  3059916  727203
194 700631  10514755  3075816
195 526604  8072741  1551508
196 940407  16259584  2846915
197 590918  9092047  1761509
198 690370  10889957  2692614
199 886669  15177478  3897420
